,32,33,34,35,36,37,38,39,40,41
0,0.004473,0.003367,0.002993,0.003214,0.003350,0.003362,0.003562,0.003232,0.003327,0.002396
1,0.003367,0.004828,0.003421,0.003758,0.003845,0.004118,0.003420,0.004537,0.004362,0.002892
2,0.002993,0.003421,0.004089,0.003563,0.003563,0.003769,0.003231,0.004036,0.003998,0.002821
3,0.003214,0.003758,0.003563,0.005661,0.004943,0.004890,0.003171,0.004344,0.004569,0.003216
4,0.003350,0.003845,0.003563,0.004943,0.006576,0.004651,0.003315,0.004180,0.004292,0.003235
5,0.003362,0.004118,0.003769,0.004890,0.004651,0.007277,0.003252,0.005833,0.005374,0.003238
6,0.003562,0.003420,0.003231,0.003171,0.003315,0.003252,0.004652,0.003350,0.003320,0.002429
7,0.003232,0.004537,0.004036,0.004344,0.004180,0.005833,0.003350,0.007827,0.006118,0.003407
8,0.003327,0.004362,0.003998,0.004569,0.004292,0.005374,0.003320,0.006118,0.007149,0.003481
9,0.002396,0.002892,0.002821,0.003216,0.003235,0.003238,0.002429,0.003407,0.003481,0.003644
