交易所标识_Exchflg,市场标识_Mktflg,日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv,市场溢酬因子__总市值加权_Rmrf_mc,市值因子__总市值加权_Smb_mc,账面市值比因子__总市值加权_Hml_mc
1,A,2014/11/28,0.1093,-0.0172,0.0363,0.108,0.002,0.0403
1,A,2014/12/31,0.2159,-0.1606,0.1551,0.2055,-0.1352,0.1778
1,A,2015/01/30,-0.0129,0.0192,-0.0494,-0.0117,0.0088,-0.0421
1,A,2015/02/27,0.0252,0.019,-0.0262,0.0285,0.0107,-0.0254
1,A,2015/03/31,0.1248,0.0529,-0.0157,0.1306,0.0498,0.0021
1,A,2015/04/30,0.1849,-0.0367,0.0334,0.1847,-0.0263,0.0874
1,A,2015/05/29,0.0143,0.1519,-0.1607,0.0374,0.1278,-0.1571
1,A,2015/06/30,-0.06,0,0.0631,-0.069,0.0113,0.0758
1,A,2015/07/31,-0.1412,-0.0586,0.0208,-0.1449,-0.0687,0.0127
1,A,2015/08/31,-0.1293,0.0091,-0.0046,-0.1333,0.0204,0.0039
1,A,2015/09/30,-0.0518,0.0106,-0.0067,-0.0536,0.0199,-0.0038
1,A,2015/10/30,0.1089,0.08,-0.062,0.1145,0.0667,-0.0672
1,A,2015/11/30,0.0117,0.1163,-0.0236,0.0171,0.1053,-0.0319
1,A,2015/12/31,0.025,0.065,-0.0458,0.0245,0.067,-0.0228
1,A,2016/01/29,-0.2283,-0.055,0.0393,-0.2339,-0.0528,0.0482
1,A,2016/02/29,-0.019,-0.0002,-0.0066,-0.0209,0.0028,-0.0021
1,A,2016/03/31,0.1171,0.0519,-0.0496,0.119,0.052,-0.0472
1,A,2016/04/29,-0.0227,0.0338,-0.0109,-0.0246,0.0316,-0.0019
1,A,2016/05/31,-0.0072,-0.0314,-0.0085,-0.0084,-0.0271,-0.0186
1,A,2016/06/30,0.0048,0.0225,-0.0181,0.0074,0.0211,-0.0299
1,A,2016/07/29,0.0291,-0.0194,0.0192,0.0255,-0.015,0.0307
1,A,2016/08/31,0.035,0.0327,0.0084,0.0349,0.0319,0.0115
1,A,2016/09/30,-0.0255,0.0371,-0.0065,-0.0281,0.0291,-0.0057
1,A,2016/10/31,0.0294,0.0063,0.0078,0.031,0.0103,0.008
1,A,2016/11/30,0.05,-0.0154,0.0343,0.0475,-0.009,0.0338
1,A,2016/12/30,-0.0424,0.0269,0.0041,-0.0476,0.0211,0.011
1,A,2017/01/26,0.0238,-0.0438,0.0394,0.0155,-0.0316,0.0433
1,A,2017/02/28,0.0173,0.0188,0.0077,0.0235,0.0234,0.0087
1,A,2017/03/31,-0.0095,-0.0292,0.0191,-0.0092,-0.0281,0.0113
1,A,2017/04/28,-0.0198,-0.0618,0.0287,-0.0238,-0.0455,0.0141
1,A,2017/05/31,-0.0045,-0.0652,0.0569,-0.0142,-0.0609,0.0515
1,A,2017/06/30,0.0276,-0.0091,-0.0167,0.0266,-0.0052,0.0009
1,A,2017/07/31,0.0439,-0.0128,0.0435,0.0344,0.0025,0.074
1,A,2017/08/31,0.0217,0.0083,-0.0148,0.0246,0.0078,-0.0146
1,A,2017/09/29,-0.0049,-0.0083,-0.025,-0.0062,-0.0116,-0.0295
1,A,2017/10/31,0.0133,-0.0593,-0.0236,0.011,-0.0609,-0.031
1,A,2017/11/30,-0.0177,-0.0471,0.0221,-0.0259,-0.0371,0.028
1,A,2017/12/29,-0.0038,-0.0402,-0.0149,-0.0069,-0.0398,-0.0195
