,32,33,34,39,40,41
0,0.006482,0.004467,0.004467,0.004467,0.004467,0.004467
1,0.004467,0.006482,0.004467,0.004467,0.004467,0.004467
2,0.004467,0.004467,0.006482,0.004467,0.004467,0.004467
3,0.004467,0.004467,0.004467,0.004467,0.004467,0.004467
4,0.004467,0.004467,0.004467,0.004467,0.004467,0.004467
5,0.004467,0.004467,0.004467,0.004467,0.004467,0.004467
6,0.004467,0.004467,0.004467,0.004467,0.004467,0.004467
7,0.004467,0.004467,0.004467,0.006482,0.004467,0.004467
8,0.004467,0.004467,0.004467,0.004467,0.006482,0.004467
9,0.004467,0.004467,0.004467,0.004467,0.004467,0.006482
