,32,33,34,39,40,41
0,0.006067,0.005677,0.005369,0.004118,0.004113,0.003953
1,0.005677,0.007036,0.00608,0.005796,0.005576,0.004241
2,0.005369,0.00608,0.00746,0.005718,0.005472,0.004991
3,0.004191,0.005153,0.005241,0.00598,0.005619,0.003741
4,0.0033,0.004186,0.00415,0.004649,0.004729,0.003134
5,0.002402,0.003591,0.003737,0.005504,0.005177,0.002938
6,0.004794,0.004807,0.005273,0.003284,0.003261,0.004028
7,0.004118,0.005796,0.005718,0.009238,0.007898,0.003934
8,0.004113,0.005576,0.005472,0.007898,0.008721,0.004099
9,0.003953,0.004241,0.004991,0.003934,0.004099,0.00447
