,yearmonth,trdsum,monfulturnr,monret,monrfret,pe,eps,roe,incomeps,beta
149,201306,3229638672,49.7078,-0.1977,0.004241,10.88,0.28,3.4598,3.19,1.3482
150,201307,5205786861,82.6130,0.1413,0.003972,15.30,0.28,3.4598,3.19,1.3924
151,201308,6486357911,89.2636,0.1814,0.003880,18.07,0.53,7.1668,9.74,1.4310
152,201309,3444409051,48.6174,-0.1202,0.003884,15.90,0.53,7.1668,9.74,1.3680
153,201310,1940018350,28.1507,-0.0182,0.003897,12.18,0.90,9.8851,14.61,1.5622
154,201311,1386783398,21.0558,0.0363,0.003920,12.62,0.90,9.8851,14.61,1.5657
155,201312,1699923650,25.0196,-0.0641,0.004417,11.81,0.90,9.8851,14.61,1.5732
156,201401,1532213043,25.3897,-0.0622,0.004654,9.78,0.90,9.8851,14.61,1.5813
157,201402,1604611214,25.5538,0.0187,0.004657,9.96,0.90,9.8851,14.61,1.5753
158,201403,1044199775,17.6022,-0.0617,0.004587,9.35,1.20,13.9700,21.42,1.5848
159,201404,859275165,14.6417,-0.0044,0.004582,9.31,0.28,3.5500,3.08,1.5839
160,201405,630643376,11.4782,-0.0304,0.004369,9.02,0.28,3.5500,3.08,1.5680
161,201406,1200952006,22.2082,0.0737,0.003998,9.39,0.28,3.5500,3.08,1.5818
162,201407,1931932879,33.7895,0.0655,0.003955,9.63,0.28,3.5500,3.08,1.5004
163,201408,2333002770,37.5787,0.0390,0.003905,10.01,0.58,7.7927,9.02,1.5320
164,201409,2923978831,44.6945,0.0464,0.003849,10.47,0.58,7.7927,9.02,1.4258
165,201410,10396020632,132.2314,0.2383,0.003758,15.31,0.80,10.3317,14.60,1.4675
166,201411,8858389309,101.1932,0.1271,0.003559,17.25,0.80,10.3317,14.60,1.4411
167,201412,7774402945,82.8967,0.0246,0.003884,17.68,0.80,10.3317,14.60,0.9894
168,201501,5929006131,58.8659,0.1779,0.004126,18.07,0.80,10.3317,14.60,0.9867
169,201502,4152543311,34.4283,0.1347,0.004087,20.51,0.80,10.3317,14.60,0.9881
170,201503,6830597378,48.9607,0.3058,0.004083,26.78,0.80,10.3317,14.60,1.1604
171,201504,9217619610,52.1362,-0.0324,0.003838,27.94,0.19,2.0486,2.68,0.7794
172,201505,9922247443,53.1120,0.2385,0.002815,34.60,0.19,2.0486,2.68,0.7623
173,201506,17361186996,77.7889,-0.1344,0.002524,29.95,0.19,2.0486,2.68,0.7748
174,201507,10379854373,78.7565,-0.1942,0.002644,22.10,0.19,2.0486,2.68,0.8596
175,201508,6611408340,51.6800,-0.2637,0.002592,16.27,0.59,5.5248,6.37,0.9860
176,201509,3544922860,37.1667,-0.0989,0.002602,14.66,0.59,5.5248,6.37,1.0085
177,201510,384243549,3.9392,0.1009,0.002618,15.37,0.89,9.6602,10.82,0.9922
178,201606,7383680,0.0673,0.0992,0.002461,17.27,0.28,2.3808,2.71,0.9515
179,201607,21276089876,122.9787,0.6651,0.002413,26.76,0.28,2.3808,2.71,0.9524
180,201608,25031510798,128.8800,-0.0008,0.002338,26.73,0.77,7.9316,5.19,0.9477
181,201609,9303338620,55.3357,-0.1775,0.002327,21.99,0.77,7.9316,5.19,0.9921
182,201610,12440397189,71.7914,0.0778,0.002339,31.07,0.94,8.3597,6.64,1.0702
183,201611,8328547622,52.0918,-0.0721,0.002433,28.83,0.94,8.3597,6.64,1.0517
184,201612,6997099727,46.6260,-0.0266,0.002643,28.06,0.94,8.3597,6.64,1.0302
185,201701,4634547431,31.4487,-0.0273,0.003047,21.50,0.94,8.3597,6.64,0.9640
186,201702,4748656786,32.5648,0.0387,0.003466,22.33,0.94,8.3597,6.64,0.9686
187,201703,6379303819,42.8986,-0.0551,0.003623,21.10,0.94,8.3597,6.64,0.9585
188,201704,2866062796,20.5911,-0.0391,0.003579,17.99,0.45,3.5579,1.65,0.9821
189,201705,3636971685,26.6684,-0.0351,0.003699,17.28,0.45,3.5579,1.65,0.9852
190,201706,3577415587,22.2536,0.0554,0.003895,24.26,0.45,3.5579,1.24,0.9871
191,201707,4753509064,26.6237,0.0026,0.003596,27.78,0.45,3.5579,1.24,0.9710
192,201708,3943642964,22.4221,-0.0423,0.003602,26.60,0.57,4.0951,5.09,0.9557
193,201709,6275085703,34.2440,0.0752,0.003650,28.60,0.57,4.0951,5.09,0.9458
194,201710,4353035909,22.8026,-0.0386,0.003641,22.89,0.87,6.1868,10.14,0.9360
195,201711,3150709601,17.8034,-0.0551,0.003798,21.63,0.87,6.1868,10.14,0.9461
196,201712,1346228093,7.9466,-0.0238,0.004030,21.11,0.87,6.1868,10.14,0.9466
197,201801,1695927931,10.3443,-0.0431,0.003924,22.02,0.87,6.1868,10.14,0.9300
198,201802,1336154233,9.7910,-0.1257,0.003924,19.25,0.87,6.1868,10.14,0.9754
199,201803,3644450415,24.0139,0.0495,0.003899,20.20,0.87,6.1868,10.14,0.9589
200,201804,1494818268,10.6744,-0.0671,0.003464,18.75,0.34,2.2419,2.52,0.9792
201,201805,1552469143,11.0005,-0.0342,0.003425,18.11,0.34,2.2419,2.52,0.9712
202,201806,902615759,7.4185,-0.0886,0.003597,16.39,0.34,2.2419,1.94,0.9697
203,201807,1241549219,10.6912,0.0074,0.003002,15.46,0.34,2.2419,1.94,1.2253
204,201808,815029009,7.3671,-0.0894,0.002402,14.08,0.50,4.4575,4.43,1.2522
205,201809,647740184,5.9068,0.0298,0.002368,14.50,0.50,4.4575,4.43,1.2303
206,201810,669129790,6.4822,-0.0922,0.002386,15.76,0.65,5.8867,6.97,1.0771
207,201811,3448988192,28.8062,0.1454,0.002526,18.05,0.65,5.8867,6.97,1.5389
208,201812,1666561950,13.8522,-0.0563,0.002664,17.03,0.65,5.8867,6.97,1.4499
209,201901,1555941237,13.2475,0.0040,0.002511,15.67,0.65,5.8867,6.97,1.4034
210,201902,3354748234,25.3083,0.2680,0.002357,19.87,0.65,5.8867,6.97,1.5245
211,201903,7912291987,51.5364,0.1194,0.002325,22.24,0.80,7.6259,11.31,1.4360
212,201904,4306653106,27.2968,-0.0760,0.002339,15.98,0.49,4.4314,2.24,1.4238
213,201905,2118319452,14.7294,0.0139,0.002423,16.20,0.49,4.4314,2.24,1.4623
214,201906,1872743145,12.5490,-0.0064,0.002404,16.00,0.49,4.4314,1.73,1.4202
215,201907,1892836880,12.8593,0.0039,0.002185,23.35,0.49,4.4314,1.73,1.1768
216,201908,1280227095,9.2757,-0.0360,0.002218,22.51,0.31,3.6684,4.58,1.1955
217,201909,1690090175,12.0272,-0.0519,0.002261,21.34,0.31,3.6684,4.58,1.1352
218,201910,827776352,6.2192,-0.0311,0.002304,15.45,0.54,5.6733,5.15,1.1060
219,201911,720003933,5.4999,-0.0087,0.002490,15.31,0.54,5.6733,5.15,1.1929
220,201912,1527373951,11.2980,0.0885,0.002524,16.67,0.54,5.6733,5.15,1.2406
221,202001,4017424533,26.0950,0.0550,0.002403,18.25,0.54,5.6733,5.15,1.2156
222,202002,5618403261,36.5238,0.0119,0.002178,18.47,0.54,5.6733,5.15,1.1840
223,202003,3415459065,22.5201,-0.0826,0.001796,16.94,0.50,7.0912,6.81,1.1973
224,202004,3180162887,21.2210,0.1170,0.001279,37.74,0.02,0.2647,0.98,1.2381
225,202005,1770889718,11.9183,-0.0716,0.001172,34.80,0.02,0.2647,0.70,1.2335
226,202006,2656957759,17.8967,0.0922,0.001589,38.01,0.02,0.2647,0.70,1.2451
227,202007,9123524041,53.1083,0.0640,0.001932,20.68,0.02,0.2647,0.70,1.1418
228,202008,3023985604,18.9344,-0.0301,0.002171,20.06,0.15,2.6560,2.74,1.1437
229,202009,3597458175,22.7885,-0.0028,0.002231,20.00,0.15,2.6560,2.74,1.1110
230,202010,4839576107,28.3913,-0.0184,0.002332,18.36,0.29,4.7009,4.68,1.1176
231,202011,2634502637,17.3304,-0.0288,0.002524,17.83,0.29,4.7009,4.68,1.0598
232,202012,2254046826,15.8560,-0.1142,0.002439,15.79,0.29,4.7009,4.68,1.0297
233,202101,1603865047,12.4624,-0.0586,0.002205,13.86,0.29,4.7009,4.68,1.0845
234,202102,881408762,7.1798,0.0000,0.002342,13.86,0.29,4.7009,4.68,1.0406
235,202103,1418110704,11.2115,-0.0089,0.002261,13.74,0.29,4.7009,4.68,1.0733
236,202104,1121487600,8.8145,0.0018,0.002173,13.02,0.04,0.5977,1.84,1.0591
237,202105,1022031153,8.0776,0.0412,0.002102,13.55,0.04,0.5977,1.84,1.0544
238,202106,2017698225,15.8119,-0.0355,0.002040,12.98,0.04,0.5977,1.42,1.0527
239,202107,1274274143,10.8657,-0.1145,0.002015,12.26,0.04,0.5977,1.42,1.0958
240,202108,1607139404,13.9692,0.0897,0.001969,13.36,0.11,2.3885,3.13,1.0970
241,202109,2403957565,18.5988,0.0315,0.001980,13.78,0.11,2.3885,3.13,1.0997
242,202110,860423495,6.9437,-0.0446,0.002027,15.45,0.17,3.5028,4.56,1.1060
243,202111,1472493030,12.1534,0.0811,0.002055,16.71,0.17,3.5028,4.56,1.1309
244,202112,2599694467,19.9716,0.0045,0.002079,16.78,0.17,3.5028,4.56,1.1208
245,202201,1686691231,13.7447,-0.0973,0.002070,17.61,0.17,3.5028,4.56,1.1415
246,202202,2166940568,17.4658,0.0902,0.002015,19.20,0.17,3.5028,4.56,0.8899
247,202203,4206712873,33.6095,-0.0230,0.001971,18.76,0.17,3.5028,4.56,0.7875
248,202204,2431983799,20.4909,-0.1365,0.001935,17.30,0.23,4.9350,5.86,0.8628
249,202205,1040127190,9.6705,0.0599,0.001758,18.33,0.23,4.9350,5.86,0.9579
250,202206,1726088421,15.0130,0.0468,0.001667,18.90,0.23,4.9350,5.86,0.9613
251,202207,2533463719,21.5034,-0.0075,0.001620,22.23,0.23,4.9350,5.86,0.9423
252,202208,1738124722,15.1723,0.0226,0.001366,22.74,0.07,1.5237,3.64,0.9284
253,202209,1185048955,9.0525,-0.1155,0.001342,23.72,0.07,1.5237,3.09,0.9805
254,202210,629833346,4.9947,0.0139,0.001413,20.36,0.09,2.0465,4.28,0.9228
255,202211,1462544261,11.4118,0.0301,0.001676,20.97,0.09,2.0465,4.28,0.8593
256,202212,1629635501,12.7485,-0.0505,0.001931,19.91,0.09,2.0465,4.28,0.8355
