运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒2 rad/s2),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒2 m/s2),门内时间 (秒 s),速率 (米/秒 m/s),w^2 (单位)
1.975,1.371,-5.027,56.549,0.0327,-0.12,1.35,,,-25.27
2,1.263,-3.55,60.947,0.0302,-0.085,1.455,,,-12.6
2.025,1.194,-1.979,62.832,0.0285,-0.047,1.5,,,-3.92
2.05,1.164,-0.408,64.089,0.0278,-0.01,1.53,,,-0.17
2.075,1.173,1.225,64.089,0.028,0.029,1.53,,,-1.5
2.1,1.225,2.796,59.062,0.0293,0.067,1.41,,,-7.82
2.125,1.313,4.178,52.779,0.0314,0.1,1.26,,,-17.46
2.15,1.434,5.435,46.496,0.0342,0.13,1.11,,,-29.54
2.175,1.585,6.503,37.699,0.0378,0.155,0.9,,,-42.29
2.2,1.759,7.32,27.018,0.042,0.175,0.645,,,-53.58
2.225,1.951,7.854,15.708,0.0466,0.188,0.375,,,-61.69
2.25,2.152,8.105,6.283,0.0514,0.194,0.15,,,-65.7
2.275,2.356,8.168,-1.885,0.0563,0.195,-0.045,,,-66.72
2.3,2.56,8.011,-10.681,0.0611,0.191,-0.255,,,-64.18
2.325,2.757,7.634,-17.593,0.0658,0.182,-0.42,,,-58.28
2.35,2.942,7.131,-21.991,0.0702,0.17,-0.525,,,-50.86
2.375,3.113,6.535,-25.133,0.0743,0.156,-0.6,,,-42.7
2.4,3.269,5.875,-26.389,0.078,0.14,-0.63,,,-34.51
2.425,3.407,5.215,-26.389,0.0813,0.125,-0.63,,,-27.2
2.45,3.53,4.555,-27.018,0.0843,0.109,-0.645,,,-20.75
2.475,3.635,3.864,-27.018,0.0868,0.092,-0.645,,,-14.93
2.5,3.723,3.204,-25.761,0.0889,0.076,-0.615,,,-10.27
2.525,3.795,2.576,-25.761,0.0906,0.061,-0.615,,,-6.64
2.55,3.852,1.916,-26.389,0.092,0.046,-0.63,,,-3.67
2.575,3.891,1.257,-25.761,0.0929,0.03,-0.615,,,-1.58
2.6,3.914,0.628,-23.876,0.0935,0.015,-0.57,,,-0.39
2.625,3.922,0.063,-22.619,0.0936,0.001,-0.54,,,0
2.65,3.918,-0.503,-22.619,0.0935,-0.012,-0.54,,,-0.25
2.675,3.897,-1.068,-21.363,0.093,-0.026,-0.51,,,-1.14
2.7,3.864,-1.571,-21.363,0.0923,-0.038,-0.51,,,-2.47
2.725,3.819,-2.136,-22.619,0.0912,-0.051,-0.54,,,-4.56
2.75,3.757,-2.702,-21.991,0.0897,-0.064,-0.525,,,-7.3
2.775,3.684,-3.236,-22.619,0.0879,-0.077,-0.54,,,-10.47
2.8,3.596,-3.833,-23.248,0.0858,-0.092,-0.555,,,-14.69
2.825,3.492,-4.398,-21.991,0.0834,-0.105,-0.525,,,-19.34
2.85,3.376,-4.932,-20.735,0.0806,-0.118,-0.495,,,-24.33
2.875,3.245,-5.435,-18.85,0.0775,-0.13,-0.45,,,-29.54
2.9,3.104,-5.875,-16.965,0.0741,-0.14,-0.405,,,-34.51
2.925,2.952,-6.283,-13.823,0.0705,-0.15,-0.33,,,-39.48
2.95,2.79,-6.566,-9.425,0.0666,-0.157,-0.225,,,-43.11
2.975,2.623,-6.754,-3.77,0.0626,-0.161,-0.09,,,-45.62
3,2.452,-6.754,3.77,0.0585,-0.161,0.09,,,-45.62
3.025,2.286,-6.566,10.053,0.0546,-0.157,0.24,,,-43.11
3.05,2.124,-6.252,17.593,0.0507,-0.149,0.42,,,-39.08
3.075,1.973,-5.686,25.133,0.0471,-0.136,0.6,,,-32.33
3.1,1.839,-4.995,30.788,0.0439,-0.119,0.735,,,-24.95
3.125,1.723,-4.147,37.071,0.0411,-0.099,0.885,,,-17.2
3.15,1.632,-3.142,40.841,0.039,-0.075,0.975,,,-9.87
3.175,1.566,-2.105,43.354,0.0374,-0.05,1.035,,,-4.43
3.2,1.527,-0.974,45.867,0.0365,-0.023,1.095,,,-0.95
3.225,1.517,0.188,45.867,0.0362,0.004,1.095,,,-0.04
3.25,1.536,1.319,43.982,0.0367,0.031,1.05,,,-1.74
3.275,1.583,2.388,40.212,0.0378,0.057,0.96,,,-5.7
3.3,1.656,3.33,35.186,0.0395,0.08,0.84,,,-11.09
3.325,1.75,4.147,29.531,0.0418,0.099,0.705,,,-17.2
3.35,1.863,4.807,23.248,0.0445,0.115,0.555,,,-23.1
3.375,1.99,5.309,16.336,0.0475,0.127,0.39,,,-28.19
3.4,2.128,5.623,8.796,0.0508,0.134,0.21,,,-31.62
3.425,2.271,5.749,1.885,0.0542,0.137,0.045,,,-33.05
3.45,2.416,5.718,-3.77,0.0577,0.137,-0.09,,,-32.69
3.475,2.557,5.561,-8.796,0.0611,0.133,-0.21,,,-30.92
3.5,2.694,5.278,-13.195,0.0643,0.126,-0.315,,,-27.86
3.525,2.821,4.901,-17.593,0.0674,0.117,-0.42,,,-24.02
3.55,2.939,4.398,-21.363,0.0702,0.105,-0.51,,,-19.34
3.575,3.041,3.833,-21.991,0.0726,0.092,-0.525,,,-14.69
3.6,3.131,3.299,-23.248,0.0747,0.079,-0.555,,,-10.88
3.625,3.206,2.67,-25.133,0.0765,0.064,-0.6,,,-7.13
3.65,3.264,2.042,-24.504,0.0779,0.049,-0.585,,,-4.17
3.675,3.308,1.445,-24.504,0.079,0.034,-0.585,,,-2.09
3.7,3.336,0.817,-24.504,0.0796,0.019,-0.585,,,-0.67
3.725,3.349,0.22,-23.876,0.0799,0.005,-0.57,,,-0.05
3.75,3.347,-0.377,-23.248,0.0799,-0.009,-0.555,,,-0.14
3.775,3.33,-0.942,-22.619,0.0795,-0.022,-0.54,,,-0.89
3.8,3.3,-1.508,-22.619,0.0788,-0.036,-0.54,,,-2.27
3.825,3.255,-2.073,-21.363,0.0777,-0.05,-0.51,,,-4.3
3.85,3.197,-2.576,-20.106,0.0763,-0.062,-0.48,,,-6.64
3.875,3.126,-3.079,-19.478,0.0746,-0.074,-0.465,,,-9.48
3.9,3.043,-3.55,-17.593,0.0726,-0.085,-0.42,,,-12.6
3.925,2.948,-3.958,-15.08,0.0704,-0.094,-0.36,,,-15.67
3.95,2.845,-4.304,-12.566,0.0679,-0.103,-0.3,,,-18.52
3.975,2.733,-4.587,-8.796,0.0652,-0.11,-0.21,,,-21.04
4,2.615,-4.744,-4.398,0.0624,-0.113,-0.105,,,-22.5
4.025,2.496,-4.807,-0.628,0.0596,-0.115,-0.015,,,-23.1
4.05,2.375,-4.775,4.398,0.0567,-0.114,0.105,,,-22.8
4.075,2.257,-4.587,10.053,0.0539,-0.109,0.24,,,-21.04
4.1,2.146,-4.273,15.08,0.0512,-0.102,0.36,,,-18.25
4.125,2.044,-3.833,20.106,0.0488,-0.092,0.48,,,-14.69
4.15,1.954,-3.267,24.504,0.0466,-0.078,0.585,,,-10.67
4.175,1.88,-2.608,27.646,0.0449,-0.062,0.66,,,-6.8
4.2,1.824,-1.885,30.788,0.0435,-0.045,0.735,,,-3.55
4.225,1.786,-1.068,32.044,0.0426,-0.025,0.765,,,-1.14
4.25,1.77,-0.283,31.416,0.0423,-0.007,0.75,,,-0.08
4.275,1.772,0.503,30.788,0.0423,0.012,0.735,,,-0.25
4.3,1.795,1.257,28.903,0.0429,0.03,0.69,,,-1.58
4.325,1.835,1.948,27.018,0.0438,0.046,0.645,,,-3.79
4.35,1.893,2.608,23.248,0.0452,0.062,0.555,,,-6.8
4.375,1.965,3.11,18.85,0.0469,0.074,0.45,,,-9.67
4.4,2.048,3.55,15.08,0.0489,0.085,0.36,,,-12.6
4.425,2.143,3.864,9.425,0.0511,0.092,0.225,,,-14.93
4.45,2.242,4.021,4.398,0.0535,0.096,0.105,,,-16.17
4.475,2.344,4.084,0.628,0.0559,0.097,0.015,,,-16.68
4.5,2.446,4.053,-3.77,0.0584,0.097,-0.09,,,-16.42
4.525,2.546,3.896,-8.168,0.0608,0.093,-0.195,,,-15.18
4.55,2.641,3.644,-11.31,0.063,0.087,-0.27,,,-13.28
4.575,2.728,3.33,-14.451,0.0651,0.079,-0.345,,,-11.09
4.6,2.807,2.922,-16.336,0.067,0.07,-0.39,,,-8.54
4.625,2.875,2.513,-17.593,0.0686,0.06,-0.42,,,-6.32
4.65,2.933,2.042,-19.478,0.07,0.049,-0.465,,,-4.17
4.675,2.977,1.539,-20.106,0.0711,0.037,-0.48,,,-2.37
4.7,3.01,1.037,-20.735,0.0718,0.025,-0.495,,,-1.07
4.725,3.028,0.503,-20.106,0.0723,0.012,-0.48,,,-0.25
4.75,3.035,0.031,-19.478,0.0724,7.50E-04,-0.465,,,-9.87E-04
4.775,3.03,-0.471,-20.106,0.0723,-0.011,-0.48,,,-0.22
4.8,3.011,-0.974,-18.85,0.0719,-0.023,-0.45,,,-0.95
4.825,2.981,-1.414,-16.965,0.0712,-0.034,-0.405,,,-2
4.85,2.941,-1.822,-16.336,0.0702,-0.044,-0.39,,,-3.32
4.875,2.89,-2.231,-15.708,0.069,-0.053,-0.375,,,-4.98
4.9,2.829,-2.608,-13.195,0.0675,-0.062,-0.315,,,-6.8
4.925,2.76,-2.89,-10.681,0.0659,-0.069,-0.255,,,-8.35
4.95,2.684,-3.142,-8.168,0.0641,-0.075,-0.195,,,-9.87
4.975,2.603,-3.299,-5.027,0.0621,-0.079,-0.12,,,-10.88
5,2.52,-3.393,-2.513,0.0601,-0.081,-0.06,,,-11.51
5.025,2.433,-3.424,1.257,0.0581,-0.082,0.03,,,-11.73
5.05,2.348,-3.33,5.655,0.0561,-0.079,0.135,,,-11.09
5.075,2.267,-3.142,9.425,0.0541,-0.075,0.225,,,-9.87
5.1,2.191,-2.859,11.938,0.0523,-0.068,0.285,,,-8.17
5.125,2.124,-2.545,14.451,0.0507,-0.061,0.345,,,-6.48
5.15,2.064,-2.136,18.221,0.0493,-0.051,0.435,,,-4.56
5.175,2.017,-1.634,20.735,0.0481,-0.039,0.495,,,-2.67
5.2,1.982,-1.1,21.363,0.0473,-0.026,0.51,,,-1.21
5.225,1.962,-0.565,20.735,0.0468,-0.014,0.495,,,-0.32
5.25,1.954,-0.063,21.363,0.0466,-0.001,0.51,,,0
5.275,1.959,0.503,21.991,0.0468,0.012,0.525,,,-0.25
5.3,1.979,1.037,20.106,0.0472,0.025,0.48,,,-1.07
5.325,2.011,1.508,17.593,0.048,0.036,0.42,,,-2.27
5.35,2.055,1.916,15.08,0.049,0.046,0.36,,,-3.67
5.375,2.106,2.262,12.566,0.0503,0.054,0.3,,,-5.12
5.4,2.168,2.545,9.425,0.0517,0.061,0.225,,,-6.48
5.425,2.234,2.733,6.283,0.0533,0.065,0.15,,,-7.47
