运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒2 rad/s2),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒2 m/s2),门内时间 (秒 s),速率 (米/秒 m/s),w^2 (单位)
8.875,2.4,-0.534,1.257,0.0573,-0.013,0.03,,,-0.29
8.9,2.388,-0.503,1.257,0.057,-0.012,0.03,,,-0.25
8.925,2.375,-0.471,1.885,0.0567,-0.011,0.045,,,-0.22
8.95,2.364,-0.408,2.513,0.0564,-0.01,0.06,,,-0.17
8.975,2.355,-0.346,3.142,0.0562,-0.008,0.075,,,-0.12
9,2.347,-0.251,3.77,0.056,-0.006,0.09,,,-0.06
9.025,2.342,-0.157,3.77,0.0559,-0.004,0.09,,,-0.02
9.05,2.339,-0.063,3.142,0.0558,-0.001,0.075,,,0
9.075,2.339,0,2.513,0.0558,0,0.06,,,0
9.1,2.339,0.063,3.142,0.0558,0.002,0.075,,,0
9.125,2.342,0.157,3.142,0.0559,0.004,0.075,,,-0.02
9.15,2.347,0.22,2.513,0.056,0.005,0.06,,,-0.05
9.175,2.353,0.283,2.513,0.0562,0.007,0.06,,,-0.08
9.2,2.361,0.346,1.885,0.0564,0.008,0.045,,,-0.12
9.225,2.37,0.377,0.628,0.0566,0.009,0.015,,,-0.14
9.25,2.38,0.377,0.628,0.0568,0.009,0.015,,,-0.14
9.275,2.389,0.408,1.257,0.057,0.01,0.03,,,-0.17
9.3,2.4,0.44,2.91E-13,0.0573,0.01,6.94E-15,,,-0.19
9.325,2.411,0.408,-1.885,0.0576,0.01,-0.045,,,-0.17
9.35,2.421,0.346,-1.885,0.0578,0.008,-0.045,,,-0.12
9.375,2.428,0.314,-0.628,0.058,0.007,-0.015,,,-0.1
9.4,2.436,0.314,-1.257,0.0582,0.007,-0.03,,,-0.1
9.425,2.444,0.251,-2.513,0.0583,0.006,-0.06,,,-0.06
9.45,2.449,0.188,-1.885,0.0585,0.005,-0.045,,,-0.04
9.475,2.454,0.157,-1.885,0.0586,0.004,-0.045,,,-0.02
9.5,2.457,0.094,-2.513,0.0586,0.002,-0.06,,,-0.01
9.525,2.458,0.031,-2.513,0.0587,7.50E-04,-0.06,,,-9.87E-04
9.55,2.458,-0.031,-2.513,0.0587,-7.50E-04,-0.06,,,-9.87E-04
9.575,2.457,-0.094,-2.513,0.0586,-0.002,-0.06,,,-0.01
9.6,2.454,-0.157,-1.885,0.0586,-0.004,-0.045,,,-0.02
9.625,2.449,-0.188,-1.257,0.0585,-0.005,-0.03,,,-0.04
9.65,2.444,-0.22,-0.628,0.0583,-0.005,-0.015,,,-0.05
9.675,2.438,-0.22,-0.628,0.0582,-0.005,-0.015,,,-0.05
9.7,2.433,-0.251,-1.257,0.0581,-0.006,-0.03,,,-0.06
9.725,2.425,-0.283,-1.79E-13,0.0579,-0.007,-1.48E-15,,,-0.08
9.75,2.419,-0.251,0.628,0.0577,-0.006,0.015,,,-0.06
9.775,2.413,-0.251,1.79E-13,0.0576,-0.006,4.25E-15,,,-0.06
9.8,2.406,-0.251,0,0.0574,-0.006,0,,,-0.06
9.825,2.4,-0.251,0.628,0.0573,-0.006,0.015,,,-0.06
9.85,2.394,-0.22,1.885,0.0571,-0.005,0.045,,,-0.05
9.875,2.389,-0.157,1.885,0.057,-0.004,0.045,,,-0.02
9.9,2.386,-0.126,1.257,0.057,-0.003,0.03,,,-0.02
9.925,2.383,-0.094,1.257,0.0569,-0.002,0.03,,,-0.01
9.95,2.381,-0.063,1.257,0.0568,-0.002,0.03,,,0
9.975,2.38,-0.031,1.257,0.0568,-7.50E-04,0.03,,,-9.87E-04
10,2.38,0,1.257,0.0568,0,0.03,,,0
10.025,2.38,0.031,1.885,0.0568,7.50E-04,0.045,,,-9.87E-04
10.05,2.381,0.094,1.885,0.0568,0.002,0.045,,,-0.01
10.075,2.384,0.126,0.628,0.0569,0.003,0.015,,,-0.02
10.1,2.388,0.126,0.628,0.057,0.003,0.015,,,-0.02
10.125,2.391,0.157,1.257,0.0571,0.004,0.03,,,-0.02
10.15,2.395,0.188,0.628,0.0572,0.004,0.015,,,-0.04
10.175,2.4,0.188,-0.628,0.0573,0.004,-0.015,,,-0.04
10.2,2.405,0.157,-0.628,0.0574,0.004,-0.015,,,-0.02
10.225,2.408,0.157,1.12E-13,0.0575,0.004,2.66E-15,,,-0.02
10.25,2.413,0.157,-0.628,0.0576,0.004,-0.015,,,-0.02
10.275,2.416,0.126,-1.257,0.0577,0.003,-0.03,,,-0.02
10.3,2.419,0.094,-0.628,0.0577,0.002,-0.015,,,-0.01
10.325,2.421,0.094,6.72E-14,0.0578,0.002,1.61E-15,,,-0.01
10.35,2.424,0.094,-1.257,0.0579,0.002,-0.03,,,-0.01
10.375,2.425,0.031,-1.885,0.0579,7.50E-04,-0.045,,,-9.87E-04
10.4,2.425,0,-0.628,0.0579,0,-0.015,,,0
10.425,2.425,0,-0.628,0.0579,0,-0.015,,,0
10.45,2.425,-0.031,-1.257,0.0579,-7.50E-04,-0.03,,,-9.87E-04
10.475,2.424,-0.063,-0.628,0.0579,-0.002,-0.015,,,0
10.5,2.422,-0.063,4.47E-14,0.0578,-0.002,1.06E-15,,,0
10.525,2.421,-0.063,-0.628,0.0578,-0.002,-0.015,,,0
10.55,2.419,-0.094,-1.257,0.0577,-0.002,-0.03,,,-0.01
10.575,2.416,-0.126,-6.72E-14,0.0577,-0.003,-1.61E-15,,,-0.02
10.6,2.413,-0.094,1.257,0.0576,-0.002,0.03,,,-0.01
10.625,2.411,-0.063,6.72E-14,0.0576,-0.002,1.61E-15,,,0
10.65,2.41,-0.094,-0.628,0.0575,-0.002,-0.015,,,-0.01
10.675,2.406,-0.094,0.628,0.0574,-0.002,0.015,,,-0.01
10.7,2.405,-0.063,0.628,0.0574,-0.002,0.015,,,0
10.725,2.403,-0.063,0.628,0.0574,-0.002,0.015,,,0
10.75,2.402,-0.031,0.628,0.0573,-7.50E-04,0.015,,,-9.87E-04
10.775,2.402,-0.031,2.23E-14,0.0573,-7.50E-04,5.31E-16,,,-9.87E-04
10.8,2.4,-0.031,0.628,0.0573,-7.50E-04,0.015,,,-9.87E-04
10.825,2.4,0,1.257,0.0573,0,0.03,,,0
10.85,2.4,0.031,0.628,0.0573,7.50E-04,0.015,,,-9.87E-04
10.875,2.402,0.031,2.23E-14,0.0573,7.50E-04,5.31E-16,,,-9.87E-04
10.9,2.402,0.031,0.628,0.0573,7.50E-04,0.015,,,-9.87E-04
10.925,2.403,0.063,0.628,0.0574,0.002,0.015,,,0
10.95,2.405,0.063,-0.628,0.0574,0.002,-0.015,,,0
10.975,2.406,0.031,-0.628,0.0574,7.50E-04,-0.015,,,-9.87E-04
11,2.406,0.031,2.23E-14,0.0574,7.50E-04,5.31E-16,,,-9.87E-04
11.025,2.408,0.031,-2.23E-14,0.0575,7.50E-04,-5.31E-16,,,-9.87E-04
11.05,2.408,0.031,0.628,0.0575,7.50E-04,0.015,,,-9.87E-04
11.075,2.41,0.063,2.23E-14,0.0575,0.002,5.31E-16,,,0
11.1,2.411,0.031,-1.257,0.0576,7.50E-04,-0.03,,,-9.87E-04
11.125,2.411,0,-2.23E-14,0.0576,0,-5.31E-16,,,0
11.15,2.411,0.031,0.628,0.0576,7.50E-04,0.015,,,-9.87E-04
11.175,2.413,0.031,-0.628,0.0576,7.50E-04,-0.015,,,-9.87E-04
11.2,2.413,0,-0.628,0.0576,0,-0.015,,,0
11.225,2.413,0,0,0.0576,0,0,,,0
11.25,2.413,0,-0.628,0.0576,0,-0.015,,,0
11.275,2.413,-0.031,-0.628,0.0576,-7.50E-04,-0.015,,,-9.87E-04
11.3,2.411,-0.031,0.628,0.0576,-7.50E-04,0.015,,,-9.87E-04
11.325,2.411,0,0.628,0.0576,0,0.015,,,0
11.35,2.411,0,-0.628,0.0576,0,-0.015,,,0
11.375,2.411,-0.031,-0.628,0.0576,-7.50E-04,-0.015,,,-9.87E-04
11.4,2.41,-0.031,0.628,0.0575,-7.50E-04,0.015,,,-9.87E-04
11.425,2.41,0,0,0.0575,0,0,,,0
11.45,2.41,-0.031,-0.628,0.0575,-7.50E-04,-0.015,,,-9.87E-04
11.475,2.408,-0.031,0.628,0.0575,-7.50E-04,0.015,,,-9.87E-04
11.5,2.408,0,0.628,0.0575,0,0.015,,,0
11.525,2.408,0,0,0.0575,0,0,,,0
11.55,2.408,0,0,0.0575,0,0,,,0
11.575,2.408,0,0,0.0575,0,0,,,0
11.6,2.408,0,0,0.0575,0,0,,,0
11.625,2.408,0,0,0.0575,0,0,,,0
11.65,2.408,0,0,0.0575,0,0,,,0
11.675,2.408,0,0,0.0575,0,0,,,0
11.7,2.408,0,0,0.0575,0,0,,,0
11.725,2.408,0,0,0.0575,0,0,,,0
11.75,2.408,0,0,0.0575,0,0,,,0
11.775,2.408,0,0.628,0.0575,0,0.015,,,0
11.8,2.408,0.031,0.628,0.0575,7.50E-04,0.015,,,-9.87E-04
11.825,2.41,0.031,-0.628,0.0575,7.50E-04,-0.015,,,-9.87E-04
11.85,2.41,0,-0.628,0.0575,0,-0.015,,,0
11.875,2.41,0,0,0.0575,0,0,,,0
11.9,2.41,0,0,0.0575,0,0,,,0
11.925,2.41,0,0,0.0575,0,0,,,0
11.95,2.41,0,0,0.0575,0,0,,,0
11.975,2.41,0,0,0.0575,0,0,,,0
12,2.41,0,0,0.0575,0,0,,,0
12.025,2.41,0,0,0.0575,0,0,,,0
12.05,2.41,0,0,0.0575,0,0,,,0
12.075,2.41,0,0,0.0575,0,0,,,0
12.1,2.41,0,0,0.0575,0,0,,,0
12.125,2.41,0,0,0.0575,0,0,,,0
12.15,2.41,0,0,0.0575,0,0,,,0
12.175,2.41,0,0,0.0575,0,0,,,0
12.2,2.41,0,0,0.0575,0,0,,,0
12.225,2.41,0,0,0.0575,0,0,,,0
12.25,2.41,0,0,0.0575,0,0,,,0
12.275,2.41,0,0,0.0575,0,0,,,0
12.3,2.41,0,0,0.0575,0,0,,,0
12.325,2.41,0,0,0.0575,0,0,,,0
12.35,2.41,0,0,0.0575,0,0,,,0
12.375,2.41,0,0,0.0575,0,0,,,0
12.4,2.41,0,0,0.0575,0,0,,,0
12.425,2.41,0,0,0.0575,0,0,,,0
12.45,2.41,0,0,0.0575,0,0,,,0
12.475,2.41,0,0,0.0575,0,0,,,0
12.5,2.41,0,0,0.0575,0,0,,,0
12.525,2.41,0,0,0.0575,0,0,,,0
12.55,2.41,0,0,0.0575,0,0,,,0
12.575,2.41,0,0,0.0575,0,0,,,0
12.6,2.41,0,0,0.0575,0,0,,,0
12.625,2.41,0,0,0.0575,0,0,,,0
12.65,2.41,0,0,0.0575,0,0,,,0
12.675,2.41,0,0,0.0575,0,0,,,0
12.7,2.41,0,0,0.0575,0,0,,,0
12.725,2.41,0,0,0.0575,0,0,,,0
12.75,2.41,0,0,0.0575,0,0,,,0
12.775,2.41,0,0,0.0575,0,0,,,0
12.8,2.41,0,0,0.0575,0,0,,,0
12.825,2.41,0,0,0.0575,0,0,,,0
12.85,2.41,0,0,0.0575,0,0,,,0
12.875,2.41,0,0,0.0575,0,0,,,0
12.9,2.41,0,0,0.0575,0,0,,,0
12.925,2.41,0,0,0.0575,0,0,,,0
12.95,2.41,0,0,0.0575,0,0,,,0
12.975,2.41,0,0,0.0575,0,0,,,0
13,2.41,0,0,0.0575,0,0,,,0
13.025,2.41,0,0,0.0575,0,0,,,0
13.05,2.41,0,0,0.0575,0,0,,,0
13.075,2.41,0,0,0.0575,0,0,,,0
13.1,2.41,0,0,0.0575,0,0,,,0
13.125,2.41,0,0,0.0575,0,0,,,0
13.15,2.41,0,0,0.0575,0,0,,,0
13.175,2.41,0,0,0.0575,0,0,,,0
13.2,2.41,0,0,0.0575,0,0,,,0
13.225,2.41,0,0,0.0575,0,0,,,0
13.25,2.41,0,0,0.0575,0,0,,,0
13.275,2.41,0,0,0.0575,0,0,,,0
13.3,2.41,0,0,0.0575,0,0,,,0
13.325,2.41,0,0,0.0575,0,0,,,0
13.35,2.41,0,0,0.0575,0,0,,,0
13.375,2.41,0,0,0.0575,0,0,,,0
13.4,2.41,0,0,0.0575,0,0,,,0
13.425,2.41,0,0,0.0575,0,0,,,0
13.45,2.41,0,0,0.0575,0,0,,,0
13.475,2.41,0,0,0.0575,0,0,,,0
13.5,2.41,0,0,0.0575,0,0,,,0
13.525,2.41,0,0,0.0575,0,0,,,0
13.55,2.41,0,0,0.0575,0,0,,,0
13.575,2.41,0,0,0.0575,0,0,,,0
13.6,2.41,0,0,0.0575,0,0,,,0
13.625,2.41,0,0,0.0575,0,0,,,0
13.65,2.41,0,0,0.0575,0,0,,,0
13.675,2.41,0,0,0.0575,0,0,,,0
13.7,2.41,0,0,0.0575,0,0,,,0
13.725,2.41,0,0,0.0575,0,0,,,0
13.75,2.41,0,0,0.0575,0,0,,,0
13.775,2.41,0,0,0.0575,0,0,,,0
13.8,2.41,0,0,0.0575,0,0,,,0
13.825,2.41,0,0,0.0575,0,0,,,0
13.85,2.41,0,0,0.0575,0,0,,,0
13.875,2.41,0,0,0.0575,0,0,,,0
13.9,2.41,0,0,0.0575,0,0,,,0
13.925,2.41,0,0,0.0575,0,0,,,0
13.95,2.41,0,0,0.0575,0,0,,,0
13.975,2.41,0,0,0.0575,0,0,,,0
14,2.41,0,0,0.0575,0,0,,,0
14.025,2.41,0,0,0.0575,0,0,,,0
14.05,2.41,0,0,0.0575,0,0,,,0
14.075,2.41,0,0,0.0575,0,0,,,0
14.1,2.41,0,0,0.0575,0,0,,,0
14.125,2.41,0,0,0.0575,0,0,,,0
14.15,2.41,0,0,0.0575,0,0,,,0
14.175,2.41,0,0,0.0575,0,0,,,0
14.2,2.41,0,0,0.0575,0,0,,,0
14.225,2.41,0,,0.0575,0,,,,0
14.25,2.41,,,0.0575,,,,,
