date,close
2000/01/04,1406.37
2000/01/05,1409.68
2000/01/06,1463.94
2000/01/07,1516.6
2000/01/10,1545.11
2000/01/11,1479.78
2000/01/12,1438.02
2000/01/13,1424.44
2000/01/14,1408.85
2000/01/17,1433.33
2000/01/18,1426.62
2000/01/19,1440.72
2000/01/20,1466.86
2000/01/21,1465.09
2000/01/24,1477.34
2000/01/25,1476.51
2000/01/26,1481.12
2000/01/27,1506.77
2000/01/28,1535
2000/02/14,1673.94
2000/02/15,1670.67
2000/02/16,1693.11
2000/02/17,1640.65
2000/02/18,1668.09
2000/02/21,1677.14
2000/02/22,1632.29
2000/02/23,1594.93
2000/02/24,1634.31
2000/02/25,1631.58
2000/02/28,1704.86
2000/02/29,1714.58
2000/03/01,1697.74
2000/03/02,1713.01
2000/03/03,1738.02
2000/03/06,1681.09
2000/03/07,1694.8
2000/03/08,1726.03
2000/03/09,1732.35
2000/03/10,1705.05
2000/03/13,1728.88
2000/03/14,1685.35
2000/03/15,1681.47
2000/03/16,1607.53
2000/03/17,1658.6
2000/03/20,1699.25
2000/03/21,1710.32
2000/03/22,1720.45
2000/03/23,1747.24
2000/03/24,1730.5
2000/03/27,1775.91
2000/03/28,1791.44
2000/03/29,1788.81
2000/03/30,1810.98
2000/03/31,1800.22
2000/04/03,1801
2000/04/04,1760.69
2000/04/05,1771.2
2000/04/06,1809.14
2000/04/07,1819.9
2000/04/10,1826.06
2000/04/11,1821.17
2000/04/12,1807.33
2000/04/13,1831.55
2000/04/14,1833.66
2000/04/17,1795.06
2000/04/18,1813.49
2000/04/19,1828.71
2000/04/20,1847.03
2000/04/21,1841.06
2000/04/24,1837.4
2000/04/25,1833.47
2000/04/26,1832.78
2000/04/27,1806.83
2000/04/28,1836.32
2000/05/08,1836.64
2000/05/09,1806.64
2000/05/10,1752.69
2000/05/11,1724.05
2000/05/12,1720.61
2000/05/15,1704.59
2000/05/16,1724.54
2000/05/17,1725.4
2000/05/18,1758.54
2000/05/19,1777.83
2000/05/22,1824.74
2000/05/23,1832.08
2000/05/24,1855.49
2000/05/25,1880.7
2000/05/26,1879.62
2000/05/29,1898.75
2000/05/30,1877.47
2000/05/31,1894.55
2000/06/01,1903.49
2000/06/02,1916.25
2000/06/05,1899.09
2000/06/06,1925.54
2000/06/07,1935.03
2000/06/08,1925.21
2000/06/09,1900.79
2000/06/12,1912.56
2000/06/13,1938.67
2000/06/14,1932.29
2000/06/15,1942.29
2000/06/16,1926.94
2000/06/19,1915.2
2000/06/20,1895.35
2000/06/21,1913.13
2000/06/22,1913.9
2000/06/23,1939.63
2000/06/26,1948.64
2000/06/27,1942.9
2000/06/28,1947.48
2000/06/29,1937.26
2000/06/30,1928.11
2000/07/03,1895.64
2000/07/04,1907.93
2000/07/05,1909.19
2000/07/06,1902.55
2000/07/07,1932.79
2000/07/10,1948.02
2000/07/11,1960.54
2000/07/12,1973.37
2000/07/13,1979.2
2000/07/14,1987.19
2000/07/17,1982.48
2000/07/18,1993.99
2000/07/19,1998.43
2000/07/20,1991.56
2000/07/21,1996.34
2000/07/24,1989.24
2000/07/25,1996.58
2000/07/26,2012.32
2000/07/27,2012.35
2000/07/28,2012.79
2000/07/31,2023.54
2000/08/01,2028.15
2000/08/02,2030.68
2000/08/03,2036.3
2000/08/04,2026.36
2000/08/07,2039.42
2000/08/08,2049.92
2000/08/09,2061.18
2000/08/10,2065.94
2000/08/11,2062.67
2000/08/14,2076.3
2000/08/15,2076.82
2000/08/16,2083.47
2000/08/17,2091.59
2000/08/18,2090.18
2000/08/21,2108.69
2000/08/22,2074.7
2000/08/23,2057.92
2000/08/24,2071.16
2000/08/25,2086.7
2000/08/28,2100.59
2000/08/29,2105.48
2000/08/30,2076.14
2000/08/31,2021.2
2000/09/01,1999.86
2000/09/04,2010.6
2000/09/05,1963.79
2000/09/06,1925.91
2000/09/07,1950.66
2000/09/08,1959.31
2000/09/11,1972.04
2000/09/12,1979.1
2000/09/13,1988.94
2000/09/14,1979.51
2000/09/15,1978.43
2000/09/18,1946.75
2000/09/19,1903.15
2000/09/20,1922.29
2000/09/21,1907.31
2000/09/22,1891.98
2000/09/25,1875.91
2000/09/26,1887.83
2000/09/27,1914.09
2000/09/28,1889.29
2000/09/29,1910.16
2000/10/09,1915.35
2000/10/10,1942.15
2000/10/11,1933.73
2000/10/12,1926.32
2000/10/13,1918.16
2000/10/16,1902.81
2000/10/17,1909.49
2000/10/18,1922.85
2000/10/19,1913.42
2000/10/20,1947.45
2000/10/23,1958.94
2000/10/24,1956.34
2000/10/25,1977.25
2000/10/26,1967.67
2000/10/27,1967.41
2000/10/30,1973.58
2000/10/31,1961.29
2000/11/01,1977.36
2000/11/02,1984.26
2000/11/03,1981.63
2000/11/06,1991.17
2000/11/07,1997.08
2000/11/08,2012.91
2000/11/09,2032.48
2000/11/10,2047.46
2000/11/13,2070.79
2000/11/14,2085.12
2000/11/15,2081.91
2000/11/16,2095.98
2000/11/17,2093.24
2000/11/20,2101.39
2000/11/21,2097.98
2000/11/22,2113.3
2000/11/23,2119.44
2000/11/24,2053.37
2000/11/27,2049.67
2000/11/28,2079.4
2000/11/29,2067.5
2000/11/30,2070.61
2000/12/01,2081.84
2000/12/04,2092.14
2000/12/05,2091.67
2000/12/06,2075.63
2000/12/07,2075.04
2000/12/08,2073.16
2000/12/11,2046.08
2000/12/12,2059.05
2000/12/13,2056.12
2000/12/14,2051.08
2000/12/15,2039.36
2000/12/18,2044.55
2000/12/19,2049.03
2000/12/20,2071.27
2000/12/21,2076.89
2000/12/22,2069.77
2000/12/25,2068.17
2000/12/26,2076.27
2000/12/27,2058.24
2000/12/28,2053.7
2000/12/29,2073.48
2001/01/02,2103.47
2001/01/03,2123.9
2001/01/04,2117.41
2001/01/05,2125.3
2001/01/08,2102.06
2001/01/09,2101.14
2001/01/10,2125.61
2001/01/11,2119.14
2001/01/12,2104.75
2001/01/15,2032.44
2001/01/16,2045.89
2001/01/17,2034.58
2001/01/18,2043.11
2001/01/19,2065.61
2001/02/05,2008.03
2001/02/06,1995.32
2001/02/07,1979.94
2001/02/08,1930.14
2001/02/09,1956.97
2001/02/12,1961.22
2001/02/13,1963.53
2001/02/14,1963.2
2001/02/15,1946.48
2001/02/16,1941.96
2001/02/19,1967.55
2001/02/20,1953.22
2001/02/21,1909.33
2001/02/22,1907.26
2001/02/23,1936.35
2001/02/26,1954.69
2001/02/27,1962.04
2001/02/28,1959.18
2001/03/01,1965.12
2001/03/02,1985.11
2001/03/05,1984.2
2001/03/06,1990.06
2001/03/07,1991.18
2001/03/08,2000.9
2001/03/09,2011.66
2001/03/12,2012.55
2001/03/13,1998.7
2001/03/14,2018.62
2001/03/15,2022.6
2001/03/16,2020.24
2001/03/19,2036.62
2001/03/20,2045.79
2001/03/21,2066.39
2001/03/22,2087.53
2001/03/23,2053.54
2001/03/26,2089.88
2001/03/27,2107.26
2001/03/28,2106.87
2001/03/29,2101.66
2001/03/30,2112.78
2001/04/02,2125.08
2001/04/03,2123.05
2001/04/04,2090.72
2001/04/05,2112.6
2001/04/06,2108.61
2001/04/09,2117.37
2001/04/10,2128.48
2001/04/11,2131.4
2001/04/12,2134.8
2001/04/13,2145.4
2001/04/16,2168.06
2001/04/17,2176.68
2001/04/18,2172.56
2001/04/19,2172.87
2001/04/20,2152.34
2001/04/23,2150.43
2001/04/24,2166.17
2001/04/25,2119.18
2001/04/26,2105.06
2001/04/27,2115.11
2001/04/30,2119.18
2001/05/08,2137.99
2001/05/09,2132.89
2001/05/10,2147.28
2001/05/11,2155.41
2001/05/14,2178.47
2001/05/15,2191.06
2001/05/16,2199.51
2001/05/17,2194.65
2001/05/18,2203.37
2001/05/21,2213.59
2001/05/22,2210.34
2001/05/23,2197.59
2001/05/24,2198.3
2001/05/25,2193.58
2001/05/28,2179.7
2001/05/29,2180.28
2001/05/30,2211.2
2001/05/31,2214.26
2001/06/01,2219.59
2001/06/04,2226.78
2001/06/05,2234.99
2001/06/06,2238.5
2001/06/07,2229.81
2001/06/08,2223.07
2001/06/11,2214.62
2001/06/12,2222.96
2001/06/13,2242.42
2001/06/14,2202.4
2001/06/15,2210.97
2001/06/18,2167.65
2001/06/19,2170.45
2001/06/20,2163.12
2001/06/21,2189.14
2001/06/22,2206.07
2001/06/25,2230.2
2001/06/26,2233.59
2001/06/27,2229.83
2001/06/28,2219.25
2001/06/29,2218.03
2001/07/02,2205.99
2001/07/03,2211.83
2001/07/04,2202.06
2001/07/05,2181.66
2001/07/06,2170.52
2001/07/09,2169.66
2001/07/10,2189.78
2001/07/11,2168.74
2001/07/12,2165.49
2001/07/13,2161.34
2001/07/16,2146.24
2001/07/17,2140.98
2001/07/18,2146.54
2001/07/19,2150.26
2001/07/20,2179.62
2001/07/23,2169.01
2001/07/24,2136.45
2001/07/25,2112.26
2001/07/26,2094.01
2001/07/27,2065.73
2001/07/30,1956.82
2001/07/31,1920.32
2001/08/01,1986.93
2001/08/02,1957.02
2001/08/03,1958.69
2001/08/06,1882.13
2001/08/07,1903.93
2001/08/08,1895.17
2001/08/09,1924.59
2001/08/10,1955.04
2001/08/13,1955.1
2001/08/14,1939.54
2001/08/15,1947.36
2001/08/16,1919.64
2001/08/17,1924
2001/08/20,1934.49
2001/08/21,1938.87
2001/08/22,1903.45
2001/08/23,1902.99
