股票代码_Stkcd,日期_Date,收盘价_Clpr
600320,2000-12-22,13.45
600320,2000-12-25,13
600320,2000-12-26,13.84
600320,2000-12-27,13.79
600320,2000-12-28,13.81
600320,2000-12-29,14.05
600320,2001-01-02,14.33
600320,2001-01-03,14.29
600320,2001-01-04,14.47
600320,2001-01-05,15
600320,2001-01-08,15.22
600320,2001-01-09,15.19
600320,2001-01-10,15.74
600320,2001-01-11,15.77
600320,2001-01-12,15.3
600320,2001-01-15,14.95
600320,2001-01-16,15.09
600320,2001-01-17,14.9
600320,2001-01-18,14.91
600320,2001-01-19,15.05
600320,2001-02-05,15.09
600320,2001-02-06,15.08
600320,2001-02-07,15.16
600320,2001-02-08,14.95
600320,2001-02-09,15.06
600320,2001-02-12,15
600320,2001-02-13,14.97
600320,2001-02-14,14.48
600320,2001-02-15,14.1
600320,2001-02-16,14.15
600320,2001-02-19,14.52
600320,2001-02-20,14.11
600320,2001-02-21,13.48
600320,2001-02-22,13.52
600320,2001-02-23,13.89
600320,2001-02-26,13.89
600320,2001-02-27,14.27
600320,2001-02-28,14.12
600320,2001-03-01,14
600320,2001-03-02,14.11
600320,2001-03-05,13.93
600320,2001-03-06,13.84
600320,2001-03-07,13.9
600320,2001-03-08,14.02
600320,2001-03-09,13.89
600320,2001-03-12,13.9
600320,2001-03-13,14.06
600320,2001-03-14,14.27
600320,2001-03-15,14.23
600320,2001-03-16,14.11
600320,2001-03-19,14.2
600320,2001-03-20,14.23
600320,2001-03-21,14.27
600320,2001-03-22,14.35
600320,2001-03-23,14.29
600320,2001-03-26,14.49
600320,2001-03-27,14.53
600320,2001-03-28,
600320,2001-03-29,14.57
600320,2001-03-30,14.6
600320,2001-04-02,15
600320,2001-04-03,14.96
600320,2001-04-04,14.54
600320,2001-04-05,14.85
600320,2001-04-06,14.67
600320,2001-04-09,14.66
600320,2001-04-10,14.71
600320,2001-04-11,14.68
600320,2001-04-12,14.67
600320,2001-04-13,14.96
600320,2001-04-16,15.35
600320,2001-04-17,15.75
600320,2001-04-18,15.9
600320,2001-04-19,15.85
600320,2001-04-20,15.7
600320,2001-04-23,15.49
600320,2001-04-24,15.59
600320,2001-04-25,15.11
600320,2001-04-26,14.88
600320,2001-04-27,14.94
600320,2001-04-30,14.91
600320,2001-05-08,15.15
600320,2001-05-09,15.17
600320,2001-05-10,15.2
600320,2001-05-11,15.54
600320,2001-05-14,15.63
600320,2001-05-15,15.5
600320,2001-05-16,15.45
600320,2001-05-17,15.43
600320,2001-05-18,15.62
600320,2001-05-21,16.09
600320,2001-05-22,16.02
600320,2001-05-23,15.76
600320,2001-05-24,15.71
600320,2001-05-25,15.68
600320,2001-05-28,15.81
600320,2001-05-29,15.69
600320,2001-05-30,15.94
600320,2001-05-31,15.9
600320,2001-06-01,16.45
600320,2001-06-04,16.54
600320,2001-06-05,16.63
600320,2001-06-06,16.67
600320,2001-06-07,16.58
600320,2001-06-08,16.37
600320,2001-06-11,16.5
600320,2001-06-12,16.9
600320,2001-06-13,17.06
600320,2001-06-14,16.54
600320,2001-06-15,16.67
600320,2001-06-18,
600320,2001-06-19,16.34
600320,2001-06-20,16.18
600320,2001-06-21,16.64
600320,2001-06-22,16.85
600320,2001-06-25,17.08
600320,2001-06-26,17.04
600320,2001-06-27,16.9
600320,2001-06-28,16.77
600320,2001-06-29,16.81
600320,2001-07-02,16.94
600320,2001-07-03,17.18
600320,2001-07-04,17.35
600320,2001-07-05,17.06
600320,2001-07-06,17.21
600320,2001-07-09,16.86
600320,2001-07-10,16.98
600320,2001-07-11,17.08
600320,2001-07-12,17.17
600320,2001-07-13,16.97
600320,2001-07-16,16.59
600320,2001-07-17,16.62
600320,2001-07-18,16.46
600320,2001-07-19,16.48
600320,2001-07-20,16.86
600320,2001-07-23,17.1
600320,2001-07-24,17.15
600320,2001-07-25,16.72
600320,2001-07-26,16.65
600320,2001-07-27,16.28
600320,2001-07-30,15.3
600320,2001-07-31,15.2
600320,2001-08-01,15.78
600320,2001-08-02,15.41
600320,2001-08-03,15.71
600320,2001-08-06,15.21
600320,2001-08-07,15.5
600320,2001-08-08,15.62
600320,2001-08-09,
600320,2001-08-10,16.13
600320,2001-08-13,16.04
600320,2001-08-14,15.95
600320,2001-08-15,15.92
600320,2001-08-16,15.86
600320,2001-08-17,15.88
600320,2001-08-20,16.19
600320,2001-08-21,16.3
600320,2001-08-22,16.03
600320,2001-08-23,16.28
600320,2001-08-24,16
600320,2001-08-27,15.79
600320,2001-08-28,15.98
600320,2001-08-29,16.04
600320,2001-08-30,15.81
600320,2001-08-31,15.97
600320,2001-09-03,15.91
600320,2001-09-04,16.25
600320,2001-09-05,16.23
600320,2001-09-06,16.27
600320,2001-09-07,15.62
600320,2001-09-10,16.17
600320,2001-09-11,16.22
600320,2001-09-12,15.98
600320,2001-09-13,15.88
600320,2001-09-14,15.71
600320,2001-09-17,15.69
600320,2001-09-18,15.7
600320,2001-09-19,15.89
600320,2001-09-20,15.82
600320,2001-09-21,15.8
600320,2001-09-24,15.19
600320,2001-09-25,15.18
600320,2001-09-26,15.08
600320,2001-09-27,14.98
600320,2001-09-28,15.1
600320,2001-10-08,14.32
600320,2001-10-09,14.3
600320,2001-10-10,13.88
600320,2001-10-11,13.13
600320,2001-10-12,13.96
600320,2001-10-15,13.8
600320,2001-10-16,13.68
600320,2001-10-17,13.69
600320,2001-10-18,13.61
600320,2001-10-19,13.15
600320,2001-10-22,12.8
600320,2001-10-23,14.08
600320,2001-10-24,14.75
600320,2001-10-25,14.25
600320,2001-10-26,14.19
600320,2001-10-29,14.58
600320,2001-10-30,14.19
600320,2001-10-31,14.55
600320,2001-11-01,14.58
600320,2001-11-02,14.44
600320,2001-11-05,14.2
600320,2001-11-06,14.15
600320,2001-11-07,13.75
600320,2001-11-08,13.78
600320,2001-11-09,14.15
600320,2001-11-12,13.73
600320,2001-11-13,13.63
600320,2001-11-14,13.59
600320,2001-11-15,13.59
600320,2001-11-16,13.88
600320,2001-11-19,14.12
600320,2001-11-20,14.58
600320,2001-11-21,14.58
600320,2001-11-22,14.6
600320,2001-11-23,14.66
600320,2001-11-26,14.74
600320,2001-11-27,14.98
600320,2001-11-28,14.96
600320,2001-11-29,14.86
600320,2001-11-30,14.89
600320,2001-12-03,14.92
600320,2001-12-04,15.12
600320,2001-12-05,14.88
600320,2001-12-06,14.88
600320,2001-12-07,14.71
600320,2001-12-10,15
600320,2001-12-11,14.83
600320,2001-12-12,14.76
600320,2001-12-13,14.63
600320,2001-12-14,14.44
600320,2001-12-17,14.24
600320,2001-12-18,14.38
600320,2001-12-19,14.34
600320,2001-12-20,14.07
600320,2001-12-21,14.14
600320,2001-12-24,14.12
600320,2001-12-25,14.19
600320,2001-12-26,14.21
600320,2001-12-27,14.18
600320,2001-12-28,14.03
600320,2001-12-31,14.09
600320,2002-01-04,14.04
600320,2002-01-07,13.85
600320,2002-01-08,13.94
600320,2002-01-09,13.86
600320,2002-01-10,13.89
600320,2002-01-11,13.51
600320,2002-01-14,12.8
600320,2002-01-15,12
600320,2002-01-16,12.33
600320,2002-01-17,11.9
600320,2002-01-18,12.3
600320,2002-01-21,12.24
600320,2002-01-22,12.31
600320,2002-01-23,13.34
600320,2002-01-24,13.15
600320,2002-01-25,12.92
600320,2002-01-28,11.88
600320,2002-01-29,12.16
600320,2002-01-30,12.18
600320,2002-01-31,12.98
600320,2002-02-01,13.15
600320,2002-02-04,13.37
600320,2002-02-05,13.25
600320,2002-02-06,13.4
600320,2002-02-07,13.98
600320,2002-02-08,13.68
600320,2002-02-25,13.59
600320,2002-02-26,13.08
600320,2002-02-27,13.15
600320,2002-02-28,13.2
600320,2002-03-01,12.78
600320,2002-03-04,12.88
600320,2002-03-05,13.18
600320,2002-03-06,13.19
600320,2002-03-07,13.4
600320,2002-03-08,13.61
600320,2002-03-11,13.78
600320,2002-03-12,
600320,2002-03-13,
600320,2002-03-14,13.63
600320,2002-03-15,13.15
600320,2002-03-18,13.14
600320,2002-03-19,13.64
600320,2002-03-20,13.85
600320,2002-03-21,13.88
600320,2002-03-22,13.74
600320,2002-03-25,13.88
600320,2002-03-26,13.61
600320,2002-03-27,13.53
600320,2002-03-28,13.47
600320,2002-03-29,13.1
600320,2002-04-01,12.9
600320,2002-04-02,12.8
600320,2002-04-03,12.77
600320,2002-04-04,13.33
600320,2002-04-05,13.22
600320,2002-04-08,13.23
600320,2002-04-09,13.49
600320,2002-04-10,13.5
600320,2002-04-11,13.15
600320,2002-04-12,13.12
600320,2002-04-15,13
600320,2002-04-16,12.99
600320,2002-04-17,12.98
600320,2002-04-18,12.88
600320,2002-04-19,12.96
600320,2002-04-22,12.93
600320,2002-04-23,12.78
600320,2002-04-24,12.74
600320,2002-04-25,12.6
600320,2002-04-26,12.7
600320,2002-04-29,12.84
600320,2002-04-30,12.94
