股票代码_Stkcd,日期_Date,收盘价_Clpr
600720,2000-01-04,8.68
600720,2000-01-05,8.6
600720,2000-01-06,8.72
600720,2000-01-07,8.92
600720,2000-01-10,9.26
600720,2000-01-11,8.76
600720,2000-01-12,9.11
600720,2000-01-13,8.98
600720,2000-01-14,8.66
600720,2000-01-17,9.16
600720,2000-01-18,9.23
600720,2000-01-19,9.36
600720,2000-01-20,9.49
600720,2000-01-21,9.2
600720,2000-01-24,9.82
600720,2000-01-25,9.71
600720,2000-01-26,9.45
600720,2000-01-27,9.48
600720,2000-01-28,9.28
600720,2000-02-14,10.21
600720,2000-02-15,10.69
600720,2000-02-16,11.76
600720,2000-02-17,10.73
600720,2000-02-18,11.8
600720,2000-02-21,12.98
600720,2000-02-22,11.68
600720,2000-02-23,10.75
600720,2000-02-24,11.83
600720,2000-02-25,12.05
600720,2000-02-28,12.46
600720,2000-02-29,12.15
600720,2000-03-01,12.83
600720,2000-03-02,13.98
600720,2000-03-03,13.61
600720,2000-03-06,13.35
600720,2000-03-07,13.25
600720,2000-03-08,13.5
600720,2000-03-09,13.3
600720,2000-03-10,12.57
600720,2000-03-13,12.5
600720,2000-03-14,12.05
600720,2000-03-15,12.2
600720,2000-03-16,11.05
600720,2000-03-17,11.7
600720,2000-03-20,12.4
600720,2000-03-21,12.2
600720,2000-03-22,12.12
600720,2000-03-23,12.78
600720,2000-03-24,12.22
600720,2000-03-27,
600720,2000-03-28,12.98
600720,2000-03-29,12.72
600720,2000-03-30,12.76
600720,2000-03-31,12.52
600720,2000-04-03,12.28
600720,2000-04-04,12.75
600720,2000-04-05,13.5
600720,2000-04-06,13.64
600720,2000-04-07,13.85
600720,2000-04-10,13.62
600720,2000-04-11,13.25
600720,2000-04-12,13.3
600720,2000-04-13,13.35
600720,2000-04-14,13.1
600720,2000-04-17,12.48
600720,2000-04-18,12.7
600720,2000-04-19,12.66
600720,2000-04-20,12.98
600720,2000-04-21,13.15
600720,2000-04-24,13.2
600720,2000-04-25,13.38
600720,2000-04-26,13.1
600720,2000-04-27,12.8
600720,2000-04-28,12.91
600720,2000-05-08,13.2
600720,2000-05-09,12.81
600720,2000-05-10,12.51
600720,2000-05-11,12.1
600720,2000-05-12,12.09
600720,2000-05-15,11.95
600720,2000-05-16,12.21
600720,2000-05-17,12.24
600720,2000-05-18,12.39
600720,2000-05-19,12.53
600720,2000-05-22,13.08
600720,2000-05-23,13.55
600720,2000-05-24,13.37
600720,2000-05-25,13.6
600720,2000-05-26,13.52
600720,2000-05-29,13.96
600720,2000-05-30,13.83
600720,2000-05-31,14.3
600720,2000-06-01,14.11
600720,2000-06-02,14.2
600720,2000-06-05,13.85
600720,2000-06-06,14.1
600720,2000-06-07,14.07
600720,2000-06-08,14.5
600720,2000-06-09,14.4
600720,2000-06-12,14.21
600720,2000-06-13,15
600720,2000-06-14,14.89
600720,2000-06-15,14.9
600720,2000-06-16,14.21
600720,2000-06-19,14
600720,2000-06-20,13.75
600720,2000-06-21,13.9
600720,2000-06-22,14.15
600720,2000-06-23,14.2
600720,2000-06-26,14.56
600720,2000-06-27,14.31
600720,2000-06-28,14.22
600720,2000-06-29,14.33
600720,2000-06-30,14.47
600720,2000-07-03,14.01
600720,2000-07-04,13.85
600720,2000-07-05,13.83
600720,2000-07-06,13.76
600720,2000-07-07,14
600720,2000-07-10,14.01
600720,2000-07-11,14.28
600720,2000-07-12,14.55
600720,2000-07-13,14.36
600720,2000-07-14,14.19
600720,2000-07-17,14.15
600720,2000-07-18,14.3
600720,2000-07-19,14.41
600720,2000-07-20,14.5
600720,2000-07-21,14.6
600720,2000-07-24,14.5
600720,2000-07-25,14.32
600720,2000-07-26,14.61
600720,2000-07-27,14.01
600720,2000-07-28,14.64
600720,2000-07-31,15.65
600720,2000-08-01,15.63
600720,2000-08-02,16.1
600720,2000-08-03,16.11
600720,2000-08-04,15.91
600720,2000-08-07,15.81
600720,2000-08-08,16.09
600720,2000-08-09,16.59
600720,2000-08-10,16.74
600720,2000-08-11,17.17
600720,2000-08-14,17.59
600720,2000-08-15,18.6
600720,2000-08-16,18.67
600720,2000-08-17,18.6
600720,2000-08-18,18.37
600720,2000-08-21,17.92
600720,2000-08-22,18.2
600720,2000-08-23,18.4
600720,2000-08-24,18.44
600720,2000-08-25,18.18
600720,2000-08-28,18
600720,2000-08-29,18.1
600720,2000-08-30,18.16
600720,2000-08-31,18.39
600720,2000-09-01,18.35
600720,2000-09-04,18.59
600720,2000-09-05,18.89
600720,2000-09-06,19.19
600720,2000-09-07,18.96
600720,2000-09-08,18.98
600720,2000-09-11,18.79
600720,2000-09-12,19.01
600720,2000-09-13,19.16
600720,2000-09-14,19.5
600720,2000-09-15,19.58
600720,2000-09-18,
600720,2000-09-19,19.06
600720,2000-09-20,19.4
600720,2000-09-21,19.36
600720,2000-09-22,18.64
600720,2000-09-25,12.28
600720,2000-09-26,12.18
600720,2000-09-27,12.1
600720,2000-09-28,12.06
600720,2000-09-29,12.12
600720,2000-10-09,12.66
600720,2000-10-10,12.85
600720,2000-10-11,12.76
600720,2000-10-12,12.6
600720,2000-10-13,12.55
600720,2000-10-16,12.55
600720,2000-10-17,12.45
600720,2000-10-18,12.53
600720,2000-10-19,12.43
600720,2000-10-20,12.65
600720,2000-10-23,12.88
600720,2000-10-24,12.8
600720,2000-10-25,12.85
600720,2000-10-26,13
600720,2000-10-27,13.6
600720,2000-10-30,13.6
600720,2000-10-31,13.65
600720,2000-11-01,13.8
600720,2000-11-02,13.8
600720,2000-11-03,13.93
600720,2000-11-06,13.96
600720,2000-11-07,13.89
600720,2000-11-08,13.5
600720,2000-11-09,13.98
600720,2000-11-10,14.13
600720,2000-11-13,14.13
600720,2000-11-14,14.14
600720,2000-11-15,14.48
600720,2000-11-16,14.89
600720,2000-11-17,14.89
600720,2000-11-20,14.89
600720,2000-11-21,15.08
600720,2000-11-22,15.1
600720,2000-11-23,15.04
600720,2000-11-24,14.42
600720,2000-11-27,14.25
600720,2000-11-28,14.33
600720,2000-11-29,13.99
600720,2000-11-30,13.98
600720,2000-12-01,14.7
600720,2000-12-04,14.79
600720,2000-12-05,14.58
600720,2000-12-06,14.5
600720,2000-12-07,14.36
600720,2000-12-08,14.28
600720,2000-12-11,13.89
600720,2000-12-12,13.73
600720,2000-12-13,13.76
600720,2000-12-14,13.67
600720,2000-12-15,13
600720,2000-12-18,13.45
600720,2000-12-19,13.35
600720,2000-12-20,13.5
600720,2000-12-21,13.49
600720,2000-12-22,13.6
600720,2000-12-25,13.72
600720,2000-12-26,13.49
600720,2000-12-27,13.4
600720,2000-12-28,13.6
600720,2000-12-29,13.8
600720,2001-01-02,13.94
600720,2001-01-03,13.87
600720,2001-01-04,13.67
600720,2001-01-05,13.68
600720,2001-01-08,13.38
600720,2001-01-09,13.4
