_Stkcd,month,月收益率_Monret
1,2018/07/31,0.0513
1,2018/08/31,0.0754
1,2018/09/28,0.0908
1,2018/10/31,-0.0127
1,2018/11/30,-0.0504
1,2018/12/28,-0.0946
1,2019/01/31,0.1834
1,2019/02/28,0.1135
1,2019/03/29,0.0372
1,2019/04/30,0.0803
1,2019/05/31,-0.1206
1,2019/06/28,0.1433
1,2019/07/31,0.0254
1,2019/08/30,0.0021
1,2019/09/30,0.101
1,2019/10/31,0.043
1,2019/11/29,-0.0597
1,2019/12/31,0.0759
1,2020/01/23,-0.0553
1,2020/02/28,-0.0669
1,2020/03/31,-0.1172
1,2020/04/30,0.0883
1,2020/05/29,-0.0511
1,2020/06/30,-0.0154
1,2020/07/31,0.0422
1,2020/08/31,0.1304
1,2020/09/30,0.006
1,2020/10/30,0.1701
1,2020/11/30,0.1121
1,2020/12/31,-0.0203
1,2021/01/29,0.1939
1,2021/02/26,-0.0741
1,2021/03/31,0.0295
1,2021/04/30,0.0582
1,2021/05/31,0.0468
1,2021/06/30,-0.0653
1,2021/07/30,-0.2179
1,2021/08/31,0.0062
1,2021/09/30,0.0073
1,2021/10/29,0.0876
1,2021/11/30,-0.1056
1,2021/12/31,-0.055
2,2000/01/28,0.117
2,2000/02/29,0.4057
2,2000/03/31,-0.1443
2,2000/04/28,-0.0165
2,2000/05/31,-0.0473
2,2000/06/30,0.1362
2,2000/07/31,0.0274
2,2000/08/31,-0.0483
2,2000/09/29,-0.0528
2,2000/10/31,0.0671
2,2000/11/30,0.0606
2,2000/12/29,-0.0007
2,2001/01/19,0.0672
2,2001/02/28,-0.0777
2,2001/03/30,0.0988
2,2001/04/30,-0.0364
2,2001/05/31,-0.0261
2,2001/06/29,0.043
2,2001/07/31,-0.0662
2,2001/08/31,0.0687
2,2001/09/27,0.0116
2,2001/10/31,-0.0921
2,2001/11/30,0.0067
2,2001/12/31,-0.0111
2,2002/01/31,-0.0727
2,2002/02/28,0.021
2,2002/03/29,0.0032
2,2002/04/30,-0.0205
2,2002/05/31,-0.0902
2,2002/06/28,0.169
2,2002/07/31,-0.0727
2,2002/08/30,-0.0149
2,2002/09/27,-0.0371
2,2002/10/31,-0.0385
2,2002/11/29,-0.0783
2,2002/12/31,-0.0474
2,2003/01/29,0.0435
2,2003/02/28,0.0258
2,2003/03/31,0.1433
2,2003/04/30,0.0872
2,2003/05/30,0.1262
2,2003/06/30,-0.1837
2,2003/07/31,0.0945
2,2003/08/29,0.0141
2,2003/09/30,-0.0929
2,2003/10/31,0.0137
2,2003/11/28,-0.0051
2,2003/12/31,0.1066
2,2004/01/30,0.2003
2,2004/02/27,0.0395
2,2004/03/31,0.0821
2,2004/04/30,-0.1291
2,2004/05/31,-0.0085
2,2004/06/30,-0.0376
2,2004/07/30,0.1008
2,2004/08/31,-0.0617
2,2004/09/30,0.0797
2,2004/10/29,-0.0775
2,2004/11/30,0.024
2,2004/12/31,0.0273
2,2005/01/31,0.0798
2,2005/02/28,0.0035
2,2005/03/31,-0.0316
2,2005/04/28,0.0688
2,2005/05/31,-0.2119
2,2005/06/30,0.0452
2,2005/07/29,0.2229
2,2005/08/31,-0.0469
2,2005/09/30,-0.0191
2,2005/10/31,0.0696
2,2005/11/04,0.0286
2,2005/12/30,0.0911
2,2006/01/25,0.1439
2,2006/02/28,0.1075
2,2006/03/31,0.1996
2,2006/04/28,-0.0489
2,2006/05/31,-0.0417
2,2006/06/30,-0.0536
2,2006/07/31,0.0071
2,2006/08/31,0.2455
2,2006/09/29,0.0971
2,2006/10/31,0.0819
2,2006/11/30,0.4628
2,2006/12/29,0.2888
2,2007/01/31,-0.0084
2,2007/02/28,-0.0372
2,2007/03/30,0.1255
2,2007/04/30,0.0898
2,2007/05/31,0.6186
2,2007/06/29,-0.0149
2,2007/07/31,0.4801
2,2007/08/31,0.1943
2,2007/09/28,-0.1065
2,2007/10/31,0.2891
2,2007/11/30,-0.1896
2,2007/12/28,-0.0859
2,2008/01/31,-0.0967
2,2008/02/29,-0.1075
2,2008/03/31,0.1011
2,2008/04/30,-0.048
2,2008/05/30,-0.1896
2,2008/06/30,-0.265
2,2008/07/31,-0.0566
2,2008/08/29,-0.1671
2,2008/09/26,-0.0777
2,2008/10/31,-0.0995
2,2008/11/28,0.1599
2,2008/12/31,-0.0543
2,2009/01/23,0.0915
2,2009/02/27,0.0156
2,2009/03/31,0.158
2,2009/04/30,0.0242
