code,date,close
20,2000/01/28,7.26
20,2000/02/29,8.52
20,2000/03/31,12.82
20,2000/04/27,11.35
20,2000/05/31,10.8
20,2000/06/30,11.56
20,2000/07/31,12.35
20,2000/08/31,18.03
20,2000/09/29,18.77
20,2000/10/31,22.24
20,2000/11/30,22.02
20,2000/12/29,21.64
20,2001/01/19,18.96
20,2001/02/28,16.96
20,2001/03/30,19.94
20,2001/04/30,21.22
20,2001/05/31,20.79
20,2001/06/29,20.65
20,2001/07/31,19.91
20,2001/08/31,20.49
20,2001/09/28,19.89
20,2001/10/31,19.55
20,2001/11/30,16.71
20,2001/12/31,17.63
20,2002/01/31,15.97
20,2002/02/28,15.69
20,2002/03/29,13.42
20,2002/04/30,14.19
20,2002/05/31,13.03
20,2002/06/28,14
20,2002/07/31,13.15
20,2002/08/30,13.05
20,2002/09/27,11.63
20,2002/10/31,11.09
20,2002/11/29,9.85
20,2002/12/31,8.83
20,2003/01/29,10.24
20,2003/02/28,10.41
20,2003/03/31,9.57
20,2003/04/30,8.12
20,2003/05/30,8.23
20,2003/06/30,7.46
20,2003/07/31,7.18
20,2003/08/29,8.53
20,2003/09/30,7.68
20,2003/10/31,6.5
20,2003/11/28,6.6
20,2003/12/31,5.85
20,2004/01/30,7.33
20,2004/02/27,8.25
20,2004/03/31,8.89
20,2004/04/30,6.31
20,2004/05/31,6.72
20,2004/06/30,4.27
20,2004/07/30,4.04
20,2004/08/31,4.29
20,2004/09/30,4.08
20,2004/10/29,4.56
20,2004/11/30,4.12
20,2004/12/31,2.99
20,2005/01/31,2.71
20,2005/02/28,2.97
20,2005/03/31,2.5
20,2005/04/29,2.35
20,2005/05/31,2.85
20,2005/06/30,2.51
20,2005/07/29,2.36
20,2005/08/31,3.1
20,2005/09/30,3.05
20,2005/10/31,2.8
20,2005/11/30,2.79
20,2005/12/30,2.88
20,2006/01/25,3.2
20,2006/02/27,2.95
20,2006/03/31,2.96
20,2006/04/28,2.78
20,2006/05/31,3.96
20,2006/06/30,3.83
20,2006/07/31,3.65
20,2006/08/31,3.59
20,2006/09/29,3.96
20,2006/10/31,3.83
20,2006/11/06,3.75
20,2006/12/29,3.75
20,2007/01/31,3.75
20,2007/02/28,3.75
20,2007/03/30,3.75
20,2007/04/30,3.75
20,2007/05/31,10
20,2007/06/28,6.34
20,2007/07/31,6.4
20,2007/08/31,7.22
20,2007/09/28,7.98
20,2007/10/31,7.29
20,2007/11/30,6.54
20,2007/12/28,7.49
20,2008/01/31,6.96
20,2008/02/29,7.09
20,2008/03/31,5.75
20,2008/04/30,5.8
20,2008/05/05,6.08
20,2008/06/30,6.08
20,2008/07/31,4.72
20,2008/08/29,2.94
20,2008/09/26,2.53
20,2008/10/31,1.91
20,2008/11/28,2.21
20,2008/12/31,2.4
20,2009/01/23,2.79
20,2009/02/27,3.6
20,2009/03/31,4.12
20,2009/04/30,5.19
20,2009/05/27,6.15
20,2009/06/29,6.4
20,2009/07/31,7.35
20,2009/08/31,5.96
20,2009/09/30,6.41
20,2009/10/30,7.11
20,2009/11/30,12.4
20,2009/12/31,11.02
20,2010/01/29,9.24
20,2010/02/26,9.75
20,2010/03/31,11.25
20,2010/04/30,8.8
20,2010/05/31,9.85
20,2010/06/30,7.86
20,2010/07/30,9.37
20,2010/08/31,10.95
20,2010/09/30,10.18
20,2010/10/29,10.58
20,2010/11/30,10.17
20,2010/12/31,9.42
20,2011/01/28,8.6
20,2011/02/28,9.41
20,2011/03/31,9.53
20,2011/04/29,8.9
20,2011/05/31,8.27
20,2011/06/29,8.21
20,2011/07/29,8.22
20,2011/08/31,7.78
20,2011/09/30,6.7
20,2011/10/31,6.8
20,2011/11/30,6.8
20,2011/12/30,5.27
20,2012/01/31,5.47
20,2012/02/29,6.2
20,2012/03/30,5.86
20,2012/04/27,7.06
20,2012/05/31,7.79
20,2012/06/29,7.18
20,2012/07/31,6.08
20,2012/08/31,6.14
20,2012/09/28,6.3
20,2012/10/31,6.2
20,2012/11/30,5.28
20,2012/12/31,6.22
20,2013/01/31,6.53
20,2013/02/28,6.61
20,2013/03/29,6.14
20,2013/04/26,6.15
20,2013/05/31,6.6
20,2013/06/28,5.38
20,2013/07/31,6.35
20,2013/08/30,6.52
20,2013/09/30,6.62
20,2013/10/31,6.26
20,2013/11/29,6.76
20,2013/12/31,6.55
20,2014/01/30,6.5
20,2014/02/28,6.62
20,2014/03/31,7.71
20,2014/04/16,8.32
20,2014/05/30,7.57
20,2014/06/23,8.03
20,2014/07/31,8.03
20,2014/08/29,8.03
20,2014/09/30,8.03
20,2014/10/31,8.03
20,2014/11/28,8.03
20,2014/12/31,8.03
20,2015/01/30,8.03
20,2015/02/27,8.03
20,2015/03/31,13.83
20,2015/04/30,15.1
20,2015/05/29,20.71
20,2015/06/30,28.03
20,2015/07/31,15.33
20,2015/08/31,15.88
20,2015/09/30,13.06
20,2015/10/30,31.25
20,2015/11/30,30.5
20,2015/12/31,29.92
20,2016/01/28,20
20,2016/02/29,21.97
20,2016/03/31,23.9
20,2016/04/29,23.3
20,2016/05/31,20.16
20,2016/06/30,21.72
20,2016/07/29,18.82
20,2016/08/31,22.19
20,2016/09/30,21.8
20,2016/10/31,22.1
20,2016/11/30,25.4
20,2016/12/30,22.39
20,2017/01/26,20.26
20,2017/02/28,21.08
20,2017/03/31,24.03
20,2017/04/28,22.26
20,2017/05/26,19.2
20,2017/06/30,19.2
20,2017/07/31,19.2
20,2017/08/31,19.47
20,2017/09/29,18.76
20,2017/10/31,21.22
20,2017/11/30,14.99
20,2017/12/29,14.15
20,2018/01/31,12.4
20,2018/02/28,11.15
20,2018/03/30,15.06
20,2018/04/27,13.54
20,2018/05/31,14.87
20,2018/06/29,14.14
20,2018/07/31,13.97
20,2018/08/31,11.88
20,2018/09/28,11.83
20,2018/10/31,10.1
20,2018/11/30,10.6
20,2018/12/28,10.46
20,2019/01/31,9.9
20,2019/02/28,12.1
20,2019/03/29,12.5
20,2019/04/30,11.76
20,2019/05/31,11.19
20,2019/06/28,10.92
20,2019/07/31,10.48
20,2019/08/30,11.04
20,2019/09/30,11.07
20,2019/10/31,10.67
20,2019/11/29,10.23
20,2019/12/31,10.67
20,2020/01/23,10.22
20,2020/02/28,9.7
20,2020/03/31,9.07
20,2020/04/30,9.04
20,2020/05/29,9.72
20,2020/06/30,11.47
20,2020/07/31,13.19
20,2020/08/31,12.28
20,2020/09/30,12.14
20,2020/10/30,10.05
20,2020/11/30,10
20,2020/12/31,9.99
20,2021/01/29,8.4
20,2021/02/26,8.71
20,2021/03/31,9.4
20,2021/04/30,8.97
20,2021/05/31,9.11
20,2021/06/30,9.81
20,2021/07/30,9.6
20,2021/08/31,9.02
20,2021/09/30,8.87
20,2021/10/29,8.72
20,2021/11/30,8.95
20,2021/12/31,9.16
420,2000/01/28,7.37
420,2000/02/29,7.74
420,2000/03/31,8.17
420,2000/04/28,8
420,2000/05/31,8.4
420,2000/06/30,7.71
420,2000/07/31,8.65
420,2000/08/31,8.59
420,2000/09/29,7.99
420,2000/10/31,8.07
420,2000/11/30,8.5
420,2000/12/29,8.21
420,2001/01/19,8.73
420,2001/02/28,8.31
420,2001/03/30,8.73
420,2001/04/30,8.4
420,2001/05/31,8.91
420,2001/06/29,9.14
420,2001/07/31,7.42
420,2001/08/31,6.69
420,2001/09/28,6.39
420,2001/10/31,6.42
420,2001/11/30,6.5
420,2001/12/31,6.04
420,2002/01/31,4.46
420,2002/02/28,4.7
420,2002/03/29,5.14
420,2002/04/30,5.72
420,2002/05/31,5.86
420,2002/06/28,6.92
420,2002/07/31,6.76
420,2002/08/30,6.87
420,2002/09/27,6
420,2002/10/31,5.61
420,2002/11/29,5.05
420,2002/12/31,4.64
420,2003/01/29,5.24
420,2003/02/28,5.47
420,2003/03/31,5.12
420,2003/04/30,4.94
420,2003/05/30,5
420,2003/06/30,4.75
420,2003/07/31,4.48
420,2003/08/29,4.3
420,2003/09/30,4.45
420,2003/10/31,4.37
420,2003/11/28,4.91
420,2003/12/31,4.92
420,2004/01/30,5.18
420,2004/02/27,5.78
420,2004/03/31,6.26
420,2004/04/30,5.7
420,2004/05/31,5.23
420,2004/06/30,4.47
420,2004/07/30,4.97
420,2004/08/31,4.77
420,2004/09/30,5.24
420,2004/10/29,4.66
420,2004/11/30,4.55
420,2004/12/31,3.98
420,2005/01/31,3.48
420,2005/02/28,3.9
420,2005/03/31,3.42
420,2005/04/29,2.78
420,2005/05/31,2.66
420,2005/06/30,2.75
420,2005/07/29,2.4
420,2005/08/31,2.92
420,2005/09/30,2.76
420,2005/10/31,2.42
420,2005/11/30,2.43
420,2005/12/30,2.4
420,2006/01/13,2.58
420,2006/02/28,2.58
420,2006/03/17,2.63
420,2006/04/28,1.87
420,2006/05/31,2.49
420,2006/06/30,2.46
420,2006/07/31,2.28
420,2006/08/31,2.38
420,2006/09/29,2.57
420,2006/10/31,2.57
420,2006/11/30,2.48
420,2006/12/29,2.51
420,2007/01/31,3.09
420,2007/02/28,4.07
420,2007/03/30,5.26
420,2007/04/30,8.78
420,2007/05/31,9.82
420,2007/06/29,6.33
420,2007/07/31,9.07
420,2007/08/31,9.48
420,2007/09/28,12.3
420,2007/10/31,11.03
420,2007/11/30,9.31
420,2007/12/28,11.24
420,2008/01/31,10.22
420,2008/02/29,10.72
420,2008/03/31,6.97
420,2008/04/30,5.13
420,2008/05/30,5.33
420,2008/06/30,3.73
420,2008/07/31,3.99
420,2008/08/29,3.06
420,2008/09/26,2.82
420,2008/10/31,2.1
420,2008/11/28,2.26
420,2008/12/31,2.24
420,2009/01/23,2.54
420,2009/02/27,2.81
420,2009/03/31,3.34
420,2009/04/30,3.96
420,2009/05/27,4.08
420,2009/06/30,4.04
420,2009/07/31,4.84
420,2009/08/31,4.05
420,2009/09/30,4.18
420,2009/10/30,4.72
420,2009/11/30,5.55
420,2009/12/31,5.64
420,2010/01/29,5.51
420,2010/02/26,6.25
420,2010/03/31,6.16
420,2010/04/30,6.22
420,2010/05/31,5.55
420,2010/06/30,4.9
420,2010/07/30,5.2
420,2010/08/31,5.47
420,2010/09/30,6.02
420,2010/10/29,6.41
420,2010/11/30,7.26
420,2010/12/31,8.41
420,2011/01/31,7.39
420,2011/02/28,8.8
420,2011/03/31,8.64
420,2011/04/29,7.4
420,2011/05/31,7.03
420,2011/06/30,6.96
420,2011/07/29,6.24
420,2011/08/31,5.78
420,2011/09/30,5
420,2011/10/31,4.8
420,2011/11/30,5.69
420,2011/12/30,3.67
420,2012/01/31,3.77
420,2012/02/29,3.95
420,2012/03/30,3.72
420,2012/04/27,3.63
420,2012/05/31,3.34
420,2012/06/29,3.18
420,2012/07/31,2.44
420,2012/08/31,2.92
420,2012/09/25,2.93
420,2012/10/31,2.94
420,2012/11/30,2.95
420,2012/12/31,3.15
420,2013/01/31,3.67
420,2013/02/28,3.71
420,2013/03/29,3.77
420,2013/04/26,3.53
420,2013/05/31,3.54
420,2013/06/28,3
420,2013/07/31,2.88
420,2013/08/30,3.15
420,2013/09/30,3.36
420,2013/10/31,3.15
420,2013/11/29,3.38
420,2013/12/31,3.15
420,2014/01/30,2.95
420,2014/02/28,3.02
420,2014/03/31,3.31
420,2014/04/30,4.2
420,2014/05/30,4.12
420,2014/06/30,4.08
420,2014/07/31,5.07
420,2014/08/29,5
420,2014/09/30,5.8
420,2014/10/31,5.74
420,2014/11/28,5.95
420,2014/12/31,5.15
420,2015/01/30,5.11
420,2015/02/27,5.35
420,2015/03/31,6.68
420,2015/04/30,7.43
420,2015/05/26,9.15
420,2015/06/30,10.58
420,2015/07/31,6.61
420,2015/08/31,6.26
420,2015/09/30,5.39
420,2015/10/30,6.68
420,2015/11/30,6.7
420,2015/12/31,7.65
420,2016/01/29,6.8
420,2016/02/29,8
420,2016/03/31,8.05
420,2016/04/29,7.17
420,2016/05/31,6.8
420,2016/06/30,6.68
420,2016/07/29,6.62
420,2016/08/31,8.1
420,2016/09/30,7.97
420,2016/10/31,4.05
420,2016/11/30,4.03
420,2016/12/30,3.9
420,2017/01/26,3.85
420,2017/02/28,4.25
420,2017/03/31,3.97
420,2017/04/28,3.63
420,2017/05/31,3.06
420,2017/06/30,3.06
420,2017/07/31,3.5
420,2017/08/31,3.32
420,2017/09/29,3.51
420,2017/10/31,3.24
420,2017/11/30,3.2
420,2017/12/29,3.13
420,2018/01/31,3.06
420,2018/02/28,3
420,2018/03/30,2.82
420,2018/04/27,2.72
420,2018/05/31,2.63
420,2018/06/29,2.51
420,2018/07/31,2.44
420,2018/08/31,2.24
420,2018/09/28,2.06
420,2018/10/31,1.88
420,2018/11/30,1.96
420,2018/12/28,1.9
420,2019/01/31,1.9
420,2019/02/28,2.4
420,2019/03/29,2.96
420,2019/04/30,2.48
420,2019/05/31,2.88
420,2019/06/28,2.67
420,2019/07/31,2.59
420,2019/08/30,2.33
420,2019/09/30,2.23
420,2019/10/31,2.17
420,2019/11/29,2.16
420,2019/12/31,2.16
420,2020/01/23,2.11
420,2020/02/28,2.38
420,2020/03/31,2.1
420,2020/04/30,2.21
420,2020/05/29,2.03
420,2020/06/30,2.06
420,2020/07/31,2.1
420,2020/08/31,2.14
420,2020/09/30,2.03
420,2020/10/30,1.99
420,2020/11/30,2.06
420,2020/12/31,1.89
420,2021/01/29,1.93
420,2021/02/26,2.33
420,2021/03/31,2.81
420,2021/04/30,3.05
420,2021/05/31,3.17
420,2021/06/30,3.56
420,2021/07/30,2.98
420,2021/08/31,4.67
420,2021/09/30,4.81
420,2021/10/29,4.06
420,2021/11/30,6.17
420,2021/12/31,5.27
600120,2000/01/28,31.29
600120,2000/02/29,33.71
600120,2000/03/31,35.4
600120,2000/04/28,37.15
600120,2000/05/31,31.35
600120,2000/06/30,33.93
600120,2000/07/31,35.5
600120,2000/08/31,34.38
600120,2000/09/29,34.84
600120,2000/10/31,38.56
600120,2000/11/30,38.77
600120,2000/12/29,38
600120,2001/01/19,38.9
600120,2001/02/28,38.93
600120,2001/03/30,25.54
600120,2001/04/30,23.99
600120,2001/05/31,24.15
600120,2001/06/29,25.03
600120,2001/07/31,22.2
600120,2001/08/31,20.53
600120,2001/09/28,20.74
600120,2001/10/31,19.9
600120,2001/11/30,20.1
600120,2001/12/31,21.12
600120,2002/01/31,19.35
600120,2002/02/28,19.47
600120,2002/03/29,20.14
600120,2002/04/30,15.8
600120,2002/05/31,15.17
600120,2002/06/28,15.15
600120,2002/07/31,16.35
600120,2002/08/30,15.09
600120,2002/09/27,14.65
600120,2002/10/31,14.69
600120,2002/11/29,14.3
600120,2002/12/31,14.47
600120,2003/01/29,14.42
600120,2003/02/28,14.53
600120,2003/03/31,14.83
600120,2003/04/30,14.02
600120,2003/05/30,14.17
600120,2003/06/27,9.7
600120,2003/07/31,9.15
600120,2003/08/29,9.64
600120,2003/09/30,11.3
600120,2003/10/31,10.57
600120,2003/11/28,9.48
600120,2003/12/31,4.86
600120,2004/01/30,5.62
600120,2004/02/27,6.45
600120,2004/03/31,6.78
600120,2004/04/30,5.51
600120,2004/05/31,5.76
600120,2004/06/30,4.42
600120,2004/07/30,4.08
600120,2004/08/31,3.96
600120,2004/09/30,4.3
600120,2004/10/29,3.81
600120,2004/11/30,4.04
600120,2004/12/31,3.66
600120,2005/01/31,3.03
600120,2005/02/28,3.43
600120,2005/03/31,2.94
600120,2005/04/29,2.98
600120,2005/05/31,2.74
600120,2005/06/30,2.7
600120,2005/07/29,2.24
600120,2005/08/31,2.63
600120,2005/09/30,2.5
600120,2005/10/31,2.43
600120,2005/11/30,2.44
600120,2005/12/30,2.58
600120,2006/01/25,2.08
600120,2006/02/28,2.12
600120,2006/03/31,2.24
600120,2006/04/28,2.26
600120,2006/05/31,2.99
600120,2006/06/30,3.14
600120,2006/07/31,2.96
600120,2006/08/31,2.91
600120,2006/09/29,2.96
600120,2006/10/31,2.9
600120,2006/11/30,2.98
600120,2006/12/29,3.09
600120,2007/01/31,3.84
600120,2007/02/28,5.15
600120,2007/03/30,5.74
600120,2007/04/30,10.95
600120,2007/05/31,10.58
600120,2007/06/29,6.4
600120,2007/07/31,9.59
600120,2007/08/31,12.18
600120,2007/09/28,14.66
600120,2007/10/31,10.66
600120,2007/11/30,9.8
600120,2007/12/28,12.47
600120,2008/01/31,10.48
600120,2008/02/29,11.65
600120,2008/03/31,9.22
600120,2008/04/30,8.94
600120,2008/05/30,7.56
600120,2008/06/30,5.14
600120,2008/07/31,5.67
600120,2008/08/29,4.76
600120,2008/09/26,3.97
600120,2008/10/31,3.05
600120,2008/11/28,3.31
600120,2008/12/31,3.45
600120,2009/01/23,3.9
600120,2009/02/27,5.28
600120,2009/03/31,5.78
600120,2009/04/30,5.74
600120,2009/05/27,6.25
600120,2009/06/30,6.59
600120,2009/07/31,7.4
600120,2009/08/31,5.77
600120,2009/09/30,5.99
600120,2009/10/30,6.49
600120,2009/11/30,9.31
600120,2009/12/31,9.64
600120,2010/01/29,11.4
600120,2010/02/26,11.22
600120,2010/03/31,10.9
600120,2010/04/30,11.05
600120,2010/05/31,9.23
600120,2010/06/30,7.66
600120,2010/07/30,8.76
600120,2010/08/31,9.34
600120,2010/09/30,8.85
