

     Angle,       PSD,
   13.2123,       512,
   13.2223,       565,
   13.2323,       480,
   13.2423,       524,
   13.2522,       512,
   13.2622,       528,
   13.2722,       473,
   13.2822,       481,
   13.2921,       482,
   13.3021,       478,
   13.3121,       501,
   13.3221,       487,
   13.3321,       477,
    13.342,       471,
    13.352,       474,
    13.362,       498,
    13.372,       475,
   13.3819,       477,
   13.3919,       485,
   13.4019,       510,
   13.4119,       475,
   13.4218,       487,
   13.4318,       503,
   13.4418,       507,
   13.4518,       489,
   13.4617,       491,
   13.4717,       497,
   13.4817,       499,
   13.4917,       480,
   13.5016,       515,
   13.5116,       468,
   13.5216,       507,
   13.5316,       501,
   13.5416,       503,
   13.5515,       498,
   13.5615,       483,
   13.5715,       492,
   13.5815,       512,
   13.5914,       479,
   13.6014,       502,
   13.6114,       512,
   13.6214,       493,
   13.6313,       489,
   13.6413,       430,
   13.6513,       473,
   13.6613,       458,
   13.6712,       450,
   13.6812,       509,
   13.6912,       500,
   13.7012,       461,
   13.7112,       512,
   13.7211,       471,
   13.7311,       506,
   13.7411,       482,
   13.7511,       491,
    13.761,       476,
    13.771,       445,
    13.781,       501,
    13.791,       471,
   13.8009,       515,
   13.8109,       483,
   13.8209,       449,
   13.8309,       512,
   13.8408,       482,
   13.8508,       460,
   13.8608,       465,
   13.8708,       513,
   13.8807,       492,
   13.8907,       484,
   13.9007,       490,
   13.9107,       460,
   13.9207,       511,
   13.9306,       450,
   13.9406,       503,
   13.9506,       435,
   13.9606,       488,
   13.9705,       473,
   13.9805,       480,
   13.9905,       493,
   14.0005,       463,
   14.0104,       483,
   14.0204,       469,
   14.0304,       503,
   14.0404,       497,
   14.0503,       493,
   14.0603,       509,
   14.0703,       471,
   14.0803,       464,
   14.0902,       522,
   14.1002,       486,
   14.1102,       506,
   14.1202,       468,
   14.1302,       494,
   14.1401,       485,
   14.1501,       483,
   14.1601,       464,
   14.1701,       485,
     14.18,       495,
     14.19,       446,
      14.2,       458,
     14.21,       472,
   14.2199,       458,
   14.2299,       513,
   14.2399,       408,
   14.2499,       477,
   14.2598,       466,
   14.2698,       463,
   14.2798,       514,
   14.2898,       496,
   14.2997,       511,
   14.3097,       471,
   14.3197,       497,
   14.3297,       500,
   14.3397,       496,
   14.3496,       462,
   14.3596,       481,
   14.3696,       461,
   14.3796,       497,
   14.3895,       472,
   14.3995,       486,
   14.4095,       485,
   14.4195,       485,
   14.4294,       455,
   14.4394,       456,
   14.4494,       493,
   14.4594,       497,
   14.4693,       465,
   14.4793,       492,
   14.4893,       483,
   14.4993,       480,
   14.5092,       517,
   14.5192,       494,
   14.5292,       468,
   14.5392,       512,
   14.5492,       456,
   14.5591,       507,
   14.5691,       459,
   14.5791,       505,
   14.5891,       493,
    14.599,       483,
    14.609,       448,
    14.619,       488,
    14.629,       493,
   14.6389,       468,
   14.6489,       506,
   14.6589,       533,
   14.6689,       480,
   14.6788,       486,
   14.6888,       454,
   14.6988,       506,
   14.7088,       455,
   14.7187,       517,
   14.7287,       475,
   14.7387,       474,
   14.7487,       462,
   14.7587,       481,
   14.7686,       455,
   14.7786,       478,
   14.7886,       455,
   14.7986,       512,
   14.8085,       456,
   14.8185,       461,
   14.8285,       497,
   14.8385,       497,
   14.8484,       494,
   14.8584,       498,
   14.8684,       492,
   14.8784,       485,
   14.8883,       517,
   14.8983,       461,
   14.9083,       490,
   14.9183,       495,
   14.9282,       496,
   14.9382,       505,
   14.9482,       481,
   14.9582,       491,
   14.9682,       517,
   14.9781,       506,
   14.9881,       520,
   14.9981,       505,
   15.0081,       514,
    15.018,       530,
    15.028,       532,
    15.038,       601,
    15.048,       647,
   15.0579,       774,
   15.0679,       730,
   15.0779,       769,
   15.0879,       876,
   15.0978,       945,
   15.1078,      1000,
   15.1178,       916,
   15.1278,       907,
   15.1377,       919,
   15.1477,       897,
   15.1577,       845,
   15.1677,       745,
   15.1777,       723,
   15.1876,       584,
   15.1976,       674,
   15.2076,       590,
   15.2176,       570,
   15.2275,       561,
   15.2375,       522,
   15.2475,       483,
   15.2575,       491,
   15.2674,       492,
   15.2774,       495,
   15.2874,       475,
   15.2974,       474,
