,yyyymm,Ret,Rfree,ExRet,DP,EP,VOL,BILL,BOND,TERM,CREDIT,PPIG,IPG,MA112,MA312,MOM6,DPL1,EPL1,VOLL1,BILLL1,BONDL1,TERML1,CREDITL1,PPIGL1,IPGL1,MA112L1,MA312L1,MOM6L1
313,195302,-0.007540,0.001642,-0.009182,-2.910653,-2.370475,0.120230,0.002050,1.833333e-03,0.0091,0.0020,0.000000,0.561158,1,1,1,-2.929016,-2.392979,0.126634,0.003675,1.183333e-03,0.0070,0.0023,0.000000,0.280859,1.0,1.0,1.0
314,195303,-0.022288,0.001675,-0.023963,-2.886819,-2.342518,0.109189,0.001792,2.275000e-03,0.0097,0.0018,0.343643,0.837039,1,1,1,-2.910653,-2.370475,0.120230,0.002050,1.833333e-03,0.0091,0.0020,0.000000,0.561158,1.0,1.0,1.0
315,195304,-0.025308,0.001825,-0.027133,-2.857610,-2.304752,0.103358,0.001842,2.766667e-03,0.0102,0.0020,-0.684932,0.415046,0,1,1,-2.886819,-2.342518,0.109189,0.001792,2.275000e-03,0.0097,0.0018,0.343643,0.837039,1.0,1.0,1.0
316,195305,0.007401,0.001800,0.005601,-2.851995,-2.290704,0.093844,0.003125,3.391667e-03,0.0095,0.0020,0.344828,0.550609,0,0,0,-2.857610,-2.304752,0.103358,0.001842,2.766667e-03,0.0102,0.0020,-0.684932,0.415046,0.0,1.0,1.0
317,195306,-0.014266,0.001758,-0.016024,-2.833213,-2.263587,0.081700,0.002417,1.741667e-03,0.0085,0.0039,-0.343643,-0.411067,0,0,0,-2.851995,-2.290704,0.093844,0.003125,3.391667e-03,0.0095,0.0020,0.344828,0.550609,0.0,0.0,0.0
318,195307,0.026314,0.001700,0.024614,-2.858169,-2.283246,0.084300,0.001575,1.408333e-03,0.0090,0.0027,1.379310,1.238290,0,0,0,-2.833213,-2.263587,0.081700,0.002417,1.741667e-03,0.0085,0.0039,-0.343643,-0.411067,0.0,0.0,0.0
319,195308,-0.050101,0.001700,-0.051801,-2.798654,-2.218459,0.100373,0.000683,1.308333e-03,0.0099,0.0021,-0.340136,-0.543620,0,0,0,-2.858169,-2.283246,0.084300,0.001575,1.408333e-03,0.0090,0.0027,1.379310,1.238290,0.0,0.0,0.0
320,195309,0.002187,0.001492,0.000695,-2.799940,-2.214504,0.094621,0.000508,-0.000650,0.0080,0.0045,0.341297,-2.049223,0,0,0,-2.798654,-2.218459,0.100373,0.000683,0.001308,0.0099,0.0021,-0.340136,-0.543620,0.0,0.0,0.0
321,195310,0.051046,0.001150,0.049896,-2.842630,-2.269452,0.112974,-0.002058,-0.001050,0.0102,0.0035,-0.680272,-0.836536,0,0,0,-2.799940,-2.214504,0.094621,0.000508,-0.000650,0.0080,0.0045,0.341297,-2.049223,0.0,0.0,0.0
322,195311,0.023763,0.001200,0.022563,-2.844586,-2.283650,0.099363,-0.005858,-0.000667,0.0148,0.0025,-0.342466,-2.391110,0,0,1,-2.842630,-2.269452,0.112974,-0.002058,-0.001050,0.0102,0.0035,-0.680272,-0.836536,0.0,0.0,0.0
