,yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,PPIG,IPG,DP,EP,VOL,BILL,BOND,TERM,CREDIT,MA112,MA312,MOM6,ExRet
476,191009,8.91,0.4625,0.7375,,,,,,,0.003720,,,,0.000687,,,,,,-2.958283,-2.491663,,,,,,0,0,0,
477,191010,9.32,0.4650,0.7350,,,,,,,0.003742,,,,0.000741,,,,,,-2.997881,-2.540047,,,,,,0,0,0,
478,191011,9.31,0.4675,0.7325,,,,,,,0.003698,,,,0.001161,,,,,,-2.991445,-2.542381,,,,,,0,0,0,
479,191012,9.05,0.4700,0.7300,,,,,,,0.003078,,,,0.000683,,,,,,-2.957787,-2.517476,,,,,,0,0,0,
480,191101,9.27,0.4700,0.7183,,,,,,,0.002584,,,,0.000567,,,,,,-2.981806,-2.557651,,,,,,0,0,1,
481,191102,9.43,0.4700,0.7067,,,,,,,0.002636,,,,0.000623,,,,,,-2.998919,-2.591045,,,,,,1,0,1,
482,191103,9.32,0.4700,0.6950,,,,,,,0.002517,,,,0.000639,,,,,,-2.987185,-2.596006,,,,,,1,1,1,
483,191104,9.28,0.4700,0.6833,,,,,,,0.002333,,,,0.000282,,,,,,-2.982884,-2.608683,,,,,,1,1,0,
484,191105,9.48,0.4700,0.6717,,,,,,,0.002311,,,,0.000632,,,,,,-3.004207,-2.647128,,,,,,1,1,1,
485,191106,9.67,0.4700,0.6600,,,,,,,0.002355,,,,0.000292,,,,,,-3.024051,-2.684544,,,,,,1,1,1,
486,191107,9.63,0.4700,0.6483,,,,,,,0.002429,,,,0.000319,,,,,,-3.019906,-2.698285,,,,,,1,1,1,
487,191108,9.17,0.4700,0.6367,,,,,,,0.002731,,,,0.001378,,,,,,-2.970960,-2.667394,,,,,,0,1,0,
488,191109,8.67,0.4700,0.6250,,,,,,,0.002982,,,,0.001047,,,,,,-2.914891,-2.629872,,,,,,0,0,0,
489,191110,8.72,0.4700,0.6133,,,,,,,0.002857,,,,0.000526,,,,,,-2.920642,-2.654520,,,,,,0,0,0,
490,191111,9.07,0.4700,0.6017,,,,,,,0.002547,,,,0.001058,,,,,,-2.959995,-2.712969,,,,,,0,0,0,
491,191112,9.11,0.4700,0.5900,,,,,,,0.003049,,,,0.000420,,,,,,-2.964395,-2.737005,,,,,,0,0,0,
492,191201,9.12,0.4708,0.5992,,,,,,,0.002517,,,,0.000482,,,,,,-2.963792,-2.722630,,,,,,0,0,0,
