股票代码_Stkcd,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,日无风险收益率_DRfRet
568,2016/1/4,27,27,24.91,24.99,579.227,23.8961,15192717,397241750,0.000085
568,2016/1/5,24.6,26.1,24.5,25.4,588.7302,24.2882,23502454,595365971.4,0.000085
568,2016/1/6,25.38,26.09,25.03,25.93,601.0147,24.795,15226470,390080623.7,0.000084
568,2016/1/7,25.38,25.49,23.79,23.98,555.8169,22.9303,5762100,141091268.3,0.000084
568,2016/1/8,24.55,24.73,23.41,24.16,559.989,23.1024,21574931,523889362,0.000084
568,2016/1/11,23.79,24.1,22.84,22.86,529.8571,21.8593,14123765,330600497.8,0.000084
568,2016/1/12,22.98,23.31,22.61,22.87,530.0889,21.8689,9041220,208302902.3,0.000084
568,2016/1/13,22.89,23.46,22.32,22.41,519.4269,21.429,12977354,299092086.1,0.000083
568,2016/1/14,21.98,23.18,21.33,23.03,533.7975,22.0219,11781558,264801930.5,0.000083
568,2016/1/15,22.85,23.43,22.11,22.4,519.1951,21.4195,9341889,213839652.4,0.000082
568,2016/1/18,22.01,22.83,21.9,22.45,520.354,21.4673,8660796,195547429.7,0.000082
568,2016/1/19,22.5,23.3,22.3,23.15,536.5789,22.1366,10703933,244929779.2,0.000082
568,2016/1/20,22.95,23.15,22.4,22.68,525.685,21.6872,9567641,217925914.3,0.000081
568,2016/1/21,22.35,22.9,21.89,21.9,507.6059,20.9414,8656240,193801459.9,0.000082
568,2016/1/22,22.4,22.4,21.5,22.05,511.0827,21.0848,6941897,152093426.3,0.000083
568,2016/1/25,22.24,22.52,22.06,22.3,516.8773,21.3239,5171329,115427513.6,0.000083
568,2016/1/26,22.31,22.68,20.6,21,486.7454,20.0808,11045311,242856178.8,0.000084
568,2016/1/27,21.21,21.21,20.04,20.78,481.6462,19.8704,10612923,217908817.7,0.000085
568,2016/1/28,20.56,20.94,20.01,20.26,469.5934,19.3732,6101362,125513295.1,0.000085
568,2016/1/29,20.31,21.69,20.3,21.25,492.54,20.3198,7796615,162623932.9,0.000085
568,2016/2/1,21.1,21.55,20.9,21.2,491.3811,20.272,9143503,193930599.1,0.000084
568,2016/2/2,21.21,21.78,21.14,21.45,497.1757,20.5111,7519994,161681533.3,0.000084
568,2016/2/3,21.28,21.62,21.12,21.57,499.9571,20.6258,4681923,100239499.4,0.000084
568,2016/2/4,21.59,21.85,21.51,21.66,502.0431,20.7119,7071270,153269816.4,0.000084
568,2016/2/5,21.73,21.73,21.03,21.17,490.6857,20.2433,5965441,127149442.2,0.000084
568,2016/2/15,20.61,21.05,20.52,20.86,483.5004,19.9469,4294057,89322713.86,0.000083
568,2016/2/16,20.94,21.53,20.93,21.47,497.6392,20.5302,6657084,141942848.8,0.000083
568,2016/2/17,21.4,21.66,21.32,21.56,499.7253,20.6162,7543787,162339677.7,0.000083
568,2016/2/18,21.69,21.88,21.39,21.45,497.1757,20.5111,9810208,212155470.5,0.000082
568,2016/2/19,21.45,21.55,21.31,21.41,496.2485,20.4728,5717297,122596751.9,0.000081
568,2016/2/22,21.59,21.92,21.5,21.72,503.4338,20.7692,12347879,268171708.9,0.000081
568,2016/2/23,21.76,22.66,21.76,22.24,515.4866,21.2665,18713367,416192621.5,0.00008
568,2016/2/24,22.07,22.55,22,22.39,518.9633,21.4099,9837184,219184003.5,0.000079
568,2016/2/25,22.46,22.46,20.68,20.8,482.1097,19.8895,13056043,280048895.2,0.000079
568,2016/2/26,21.01,21.26,20.55,21,486.7454,20.0808,8759815,183429246.7,0.000079
568,2016/2/29,20.96,20.98,19.51,19.82,459.3949,18.9524,13729456,274545154.9,0.000079
568,2016/3/1,19.82,20.35,19.58,20.12,466.3485,19.2393,8557703,171145305.5,0.000079
568,2016/3/2,20.12,21.1,20.12,20.98,486.2818,20.0616,10378190,214891730.7,0.000078
568,2016/3/3,21.03,21.9,20.92,21.3,493.6989,20.3676,14461400,311498154.7,0.000078
568,2016/3/4,21.21,21.88,21.15,21.8,505.2881,20.8457,18411975,396543150.1,0.000078
568,2016/3/7,21.88,22.72,21.68,22.52,521.9765,21.5342,18120426,405939795.7,0.000077
568,2016/3/8,22.37,22.47,21.32,22.1,512.2416,21.1326,13726837,299458930.9,0.000077
568,2016/3/9,21.76,21.93,21.5,21.76,504.361,20.8075,5161523,112130805.4,0.000077
568,2016/3/10,21.75,22.65,21.67,22.12,512.7052,21.1517,15131025,338064033.8,0.000077
568,2016/3/11,22.1,22.63,21.73,22.26,515.9501,21.2856,8121336,181278547.2,0.000077
568,2016/3/14,22.42,23,22.41,22.54,522.4401,21.5533,10304956,234208896.4,0.000077
568,2016/3/15,22.43,22.88,22.03,22.61,524.0626,21.6203,6369026,142983314.7,0.000077
568,2016/3/16,22.54,22.83,22.11,22.53,522.2083,21.5438,7826791,176365132.2,0.000077
568,2016/3/17,22.66,23.05,22.5,22.9,530.7843,21.8976,7523080,171632264.7,0.000076
568,2016/3/18,22.91,23.46,22.73,23.4,542.3735,22.3757,14820803,341949058.7,0.000077
568,2016/3/21,23.39,24.06,23.01,23.38,541.9099,22.3566,25102633,588232080.4,0.000077
568,2016/3/22,23.39,24.03,23.21,23.68,548.8634,22.6434,16725000,396173453.4,0.000077
568,2016/3/23,23.58,23.93,23.41,23.67,548.6316,22.6339,11361316,268950006.7,0.000077
568,2016/3/24,23.4,24.74,23.26,24.29,563.0022,23.2267,19864853,478902771.6,0.000077
568,2016/3/25,24.12,25.16,24.12,24.52,568.3332,23.4467,11195904,275965879.2,0.000077
568,2016/3/28,24.62,25.79,24.61,25.15,582.9356,24.0491,20038886,508670199.1,0.000077
568,2016/3/29,25.01,25.39,24,24.45,566.7107,23.3797,14210320,351369230.4,0.000077
568,2016/3/30,24.6,24.96,24.38,24.86,576.2138,23.7718,10383696,256232091,0.000077
568,2016/3/31,24.89,25.04,24.5,24.65,571.3464,23.571,8909131,220163801.9,0.000077
568,2016/4/1,24.45,24.87,24.16,24.48,567.4061,23.4084,7477853,183855940,0.000078
568,2016/4/5,24.48,24.78,24.3,24.55,569.0286,23.4754,10373726,254425850.6,0.000078
568,2016/4/6,24.59,25.25,24.49,25.17,583.3991,24.0682,12816662,318057316.8,0.000078
568,2016/4/7,25.17,25.2,24.16,24.2,560.9161,23.1407,10881759,269311242.4,0.000078
568,2016/4/8,24.2,24.4,23.44,23.88,553.4991,22.8347,10799991,258038519.1,0.000078
568,2016/4/11,23.81,24.25,23.68,23.89,553.7308,22.8443,15498432,370301545.2,0.000078
568,2016/4/12,23.86,23.88,23.43,23.72,549.7905,22.6817,6167201,145720002.6,0.000078
568,2016/4/13,23.79,24.16,23.7,23.85,552.8037,22.806,14722594,353007758,0.000078
568,2016/4/14,24.04,24.26,23.75,24.15,559.7572,23.0929,9137143,219372789.1,0.000078
568,2016/4/15,24.1,24.21,23.75,23.92,554.4262,22.8729,7051764,168702102.5,0.000078
568,2016/4/18,23.79,23.8,23.35,23.48,544.2277,22.4522,5643577,132880827.2,0.000078
568,2016/4/19,23.58,23.67,23,23.5,544.6913,22.4713,8204468,191142016.1,0.000078
